entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
31257-9644,SG,James,31257-9623,31257-9495,31257-9662,31257-9556,31257-9637,31257-15946,31257-14518,31257-23776,31257-55059,,,,
31257-55059,C,Clint,31257-9623,31257-18600,31257-9799,31257-9556,31257-16233,31257-15946,31257-14518,31257-23776,31257-55059,,,,
31257-9623,PG,Chris,31257-9495,31257-18600,31257-9644,31257-9556,31257-16233,31257-15946,31257-23776,31257-23407,31257-55059,,,,
31257-14518,PF,Tobias,31257-9623,31257-9495,31257-9799,31257-9556,31257-9637,31257-15946,31257-14518,31257-23776,31257-55059,,,,
31257-84669,SG,Luka,31257-9623,31257-9495,31257-9662,31257-9799,31257-9637,31257-15946,31257-14518,31257-23776,31257-55059,,,,
31257-12363,C,Hassan,31257-9623,31257-9495,31257-9662,31257-9556,31257-16233,31257-58084,31257-14518,31257-23776,31257-55059,,,,
31257-16233,SF,Josh,31257-9623,31257-9495,31257-9662,31257-9556,31257-16233,31257-9637,31257-23776,31257-80817,31257-55059,,,,
31257-9561,C,DeAndre,31257-9623,31257-9495,31257-9662,31257-9556,31257-16233,31257-9637,31257-23776,31257-80817,31257-55059,Illness,,,
31257-9637,SF,Danilo,31257-9623,31257-9495,31257-9662,31257-9556,31257-16233,31257-9637,31257-14518,31257-23407,31257-55059,,,,
31257-23776,PF,Montrezl,31257-9623,31257-9495,31257-9662,31257-9556,31257-16233,31257-9637,31257-14518,31257-23776,31257-9561,,,,
