PG,PG,SG,SG,SF,SF,PF,PF,C
31257-9623,31257-9495,31257-9662,31257-9556,31257-9637,31257-15946,31257-14518,31257-23776,31257-55059
31257-9623,31257-18600,31257-9799,31257-9556,31257-16233,31257-15946,31257-14518,31257-23776,31257-55059
31257-9495,31257-18600,31257-9644,31257-9556,31257-16233,31257-15946,31257-23776,31257-23407,31257-55059
31257-9623,31257-9495,31257-9799,31257-9556,31257-9637,31257-15946,31257-14518,31257-23776,31257-55059
31257-9623,31257-9495,31257-9662,31257-9799,31257-9637,31257-15946,31257-14518,31257-23776,31257-55059
31257-9623,31257-9495,31257-9662,31257-9556,31257-16233,31257-58084,31257-14518,31257-23776,31257-55059
31257-9623,31257-9495,31257-9662,31257-9556,31257-16233,31257-9637,31257-23776,31257-80817,31257-55059
31257-9623,31257-9495,31257-9662,31257-9556,31257-16233,31257-9637,31257-23776,31257-80817,31257-55059
31257-9623,31257-9495,31257-9662,31257-9556,31257-16233,31257-9637,31257-14518,31257-23407,31257-55059
31257-9623,31257-9495,31257-9662,31257-9556,31257-16233,31257-9637,31257-14518,31257-23776,31257-9561
