Player Name,Salary,Team,Position,Ceiling,Floor,Projection
Mike Conley,8100,MEM,PG,60.349169999999994,22.85892,40.53
George Hill,3500,MIL,PG,38.52212,19.09396,22.28
Tim Hardaway Jr.,6900,NYK,SG,53.01569,23.166520000000002,34.27
Bradley Beal,8500,WAS,SG,60.405840000000005,25.99212,38.28
Kawhi Leonard,10100,TOR,SF,62.29768000000001,22.75544,46.63
Otto Porter,6800,WAS,SF,47.360640000000004,22.06464,32.64
Rondae Hollis-Jefferson,5700,BKN,PF,45.8694,19.39706,29.98
Domantas Sabonis,6300,IND,PF,43.57848,22.08054,29.13
Mike Muscala,4100,PHI,C,39.67954,21.46,21.46
