Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2019-03-08,Kemba Walker,9000,CHA,PG,WAS,,38.0,40.02,21,233.5,-175,119.0, ,87.91,22.66,47.21,5.25,W,36,6,19,0.316,1,9,0.111,5,6,0.833,2,2,4,6,2,1,3,2,18,6,37.8,1.0,1.0
2019-03-08,Elfrid Payton,6300,NOP,PG,TOR,,35.0,22.18,21,232.0,250,112.25,112.25,55.1,16.58,35.05,5.56,L,29,5,9,0.556,3,5,0.6,0,0,,1,5,6,6,1,0,2,2,13,-20,30.200000000000006,1.0,1.0
2019-03-08,James Harden,12000,HOU,SG,PHI,,37.0,38.74,18,231.5,-333,119.5,119.5,83.06,43.07,59.33,4.94,W,32,11,22,0.5,3,11,0.273,6,7,0.857,0,10,10,7,2,0,5,3,31,15,54.5,2.0,1.0
2019-03-08,Terrence Ross,5000,ORL,SG,DAL,,27.0,20.1,8,214.5,-275,110.5,0.25,53.85,6.92,26.94,5.39,W,28,8,16,0.5,6,11,0.545,0,0,,0,3,3,2,1,0,0,0,22,2,31.6,2.0,1.0
2019-03-08,Kevin Durant,9200,GSW,SF,DEN,,35.0,32.44,22,235.0,-250,120.75,1,69.68,24.26,46.92,5.1,W,36,10,15,0.667,2,2,1.0,4,4,1.0,0,4,4,6,0,2,0,3,26,23,45.8,3.0,1.0
2019-03-08,Royce O'Neale,3500,UTA,SF,@ MEM,,34.0,23.45,6,209.5,-200,107.25,-0.75,39.88,9.27,24.26,6.93,L,29,4,7,0.5710000000000001,1,4,0.25,1,2,0.5,0,1,1,1,2,0,1,4,10,2,17.7,3.0,1.0
2019-03-08,Cheick Diallo,3900,NOP,PF,TOR,,20.0,29.37,6,232.0,250,112.25,112.25,43.52,6.6,21.77,5.58,L,24,8,15,0.5329999999999999,0,0,,0,0,,3,9,12,0,0,0,1,1,16,-2,29.4,4.0,1.0
2019-03-08,Aaron Gordon,7200,ORL,PF,DAL,,34.0,28.63,7,214.5,-275,110.5,0.25,61.09,14.66,35.58,4.94,W,32,7,15,0.467,1,2,0.5,3,5,0.6,1,5,6,3,0,3,3,3,18,6,35.7,4.0,1.0
2019-03-08,Jahlil Okafor,3700,NOP,C,TOR,,24.0,29.37,6,232.0,250,112.25,112.25,45.96,5.75,22.99,6.21,L,17,1,3,0.333,0,0,,0,0,,0,3,3,0,0,0,1,0,2,-11,4.6,5.0,1.0
