entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
29551-9642,PG,Russell,,,,
29551-9644,SG,James,29551-66115,29551-24247,29551-12342,Hamstring,,,
29551-49111,C,Joel,29551-24247,,,,
29551-20848,PG,Damian,29551-60021,,,,
29551-66115,PG,Ben,29551-24247,,,,
29551-14513,SF,Kawhi,29551-24247,,,,
29551-9623,PG,Chris,29551-60021,,,,
29551-12332,PG,John,29551-24247,29551-60021,,,,
29551-12341,SF,Paul,29551-60021,,,,
29551-15557,C,Andre,29551-66115,29551-60021,,,,
