PG,PG,SG,SG,SF,SF,PF,PF,C
30104-66108,30104-12443,30104-9714,30104-9556,30104-24544,30104-9577,30104-9688,30104-23407,30104-55059
30104-9623,30104-49675,30104-9714,30104-9556,30104-9577,30104-70822,30104-9688,30104-23407,30104-55059
30104-66108,30104-49675,30104-9714,30104-19781,30104-9577,30104-70822,30104-9688,30104-23407,30104-55059
30104-9623,30104-66108,30104-14509,30104-9556,30104-9577,30104-70822,30104-9688,30104-23407,30104-55059
30104-66108,30104-49675,30104-9714,30104-19781,30104-9577,30104-70822,30104-9688,30104-23407,30104-55059
30104-66108,30104-12443,30104-9714,30104-14509,30104-9637,30104-70822,30104-9688,30104-23407,30104-55059
30104-66108,30104-49675,30104-9714,30104-19781,30104-9577,30104-70822,30104-9688,30104-23407,30104-55059
30104-66108,30104-12443,30104-9714,30104-19781,30104-24544,30104-9577,30104-23776,30104-23407,30104-55059
30104-66108,30104-12443,30104-9714,30104-9556,30104-9577,30104-70822,30104-9688,30104-23776,30104-55059
30104-66108,30104-12443,30104-9714,30104-9664,30104-9646,30104-9577,30104-9688,30104-23407,30104-15814
