Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2018-10-22,Ricky Rubio,6300,UTA,PG,MEM,,30.18, , ,213.5,-600,112.0,112,50.17,18.46,31.24,4.96,L,29,1,8,0.125,1,5,0.2,3,3,1.0,0,3,3,5,1,1,2,3,6,-7,21.1,1.0,1.0
2018-10-22,Darren Collison,4700,IND,PG,@ MIN,,27.0, , ,228.5,110,113.25,113.25,39.99,13.43,23.99,5.1,L,25,1,6,0.16699999999999998,0,2,0.0,3,4,0.75,0,4,4,6,2,0,2,1,5,-2,22.8,1.0,1.0
2018-10-22,Luka Doncic,7500,DAL,SG,CHI,,34.0, , ,230.0,-205,117.5, ,56.93,17.03,39.51,5.27,W,36,7,14,0.5,3,8,0.375,2,2,1.0,0,3,3,6,1,0,3,3,19,5,31.6,2.0,1.0
2018-10-22,Wesley Matthews,4600,DAL,SG,CHI,,34.0, , ,230.0,-205,117.5, ,43.86,14.24,24.46,5.32,W,32,6,15,0.4,4,11,0.364,4,4,1.0,0,2,2,4,2,0,1,0,20,9,33.4,2.0,1.0
2018-10-22,Rudy Gay,6100,SAS,SF,@ LAL,,28.0, , ,224.0,-105,111.5,0.25,48.35,17.89,29.92,4.9,W,33,7,8,0.875,2,3,0.667,0,0,,1,5,6,2,1,1,3,4,16,2,29.200000000000006,3.0,1.0
2018-10-22,Otto Porter,6300,WAS,SF,@ POR,,33.0, , ,227.5,170,111.25,111.25,54.17,20.95,31.79,5.05,W,44,6,16,0.375,0,4,0.0,4,5,0.8,2,8,10,0,2,1,1,5,16,-3,36.0,3.0,1.0
2018-10-22,LaMarcus Aldridge,8800,SAS,PF,@ LAL,,35.0, , ,224.0,-105,111.5,0.25,63.68,20.68,41.27,4.69,W,40,13,22,0.591,0,0,,11,18,0.611,5,5,10,5,1,1,1,3,37,9,61.5,4.0,1.0
2018-10-22,Draymond Green,8100,GSW,PF,PHO,,32.17, , ,227.5,-1100,119.75,119.75,56.03,14.88,37.86,4.67,W,28,1,4,0.25,0,2,0.0,3,3,1.0,0,5,5,8,4,0,2,4,5,18,33.0,4.0,1.0
2018-10-22,Deandre Ayton,7600,PHO,C,@ GSW,,34.0, , ,227.5,700,107.75,107.75,45.99,7.46,39.07,5.14,L,31,6,11,0.545,0,0,,8,8,1.0,4,10,14,5,1,0,2,2,20,-12,45.3,5.0,1.0
