"","","","","","","","","","","","","","29261-9660:Dwight Howard","29261-9660","C","Dwight","Dwight Howard","Howard","37.62839385609568","81","7100","TOR@WAS","WAS","TOR","O","Back","","",""
"","","","","","","","","","","","","","29261-9446:Jeff Teague","29261-9446","PG","Jeff","Jeff Teague","Teague","30.149999618530273","2","7000","MIN@DAL","MIN","DAL","","","","",""
"","","","","","","","","","","","","","29261-23802:Kris Dunn","29261-23802","PG","Kris","Kris Dunn","Dunn","32.05471744177476","53","7000","DET@CHI","CHI","DET","O","Personal","","",""
"","","","","","","","","","","","","","29261-55059:Clint Capela","29261-55059","C","Clint","Clint Capela","Capela","21.100000381469727","1","7000","HOU@LAL","HOU","LAL","","","","",""
"","","","","","","","","","","","","","29261-17333:Will Barton","29261-17333","SF","Will","Will Barton","Barton","32","1","7000","PHO@DEN","DEN","PHO","","","","",""
"","","","","","","","","","","","","","29261-40783:Zach LaVine","29261-40783","SG","Zach","Zach LaVine","LaVine","44.5","1","6900","DET@CHI","CHI","DET","","","","",""
"","","","","","","","","","","","","","29261-49116:Andrew Wiggins","29261-49116","SF","Andrew","Andrew Wiggins","Wiggins","34.650001525878906","2","6900","MIN@DAL","MIN","DAL","","","","",""
"","","","","","","","","","","","","","29261-66048:Brandon Ingram","29261-66048","PF","Brandon","Brandon Ingram","Ingram","30.299999237060547","1","6800","HOU@LAL","LAL","HOU","","","","",""
"","","","","","","","","","","","","","29261-9453:Al Horford","29261-9453","C","Al","Al Horford","Horford","34.150001525878906","2","6800","BOS@NY","BOS","NY","","","","",""
"","","","","","","","","","","","","","29261-80821:Jarrett Allen","29261-80821","C","Jarrett","Jarrett Allen","Allen","38.599998474121094","2","6800","BKN@IND","BKN","IND","","","","",""
"","","","","","","","","","","","","","29261-20491:Robert Covington","29261-20491","SF","Robert","Robert Covington","Covington","29.100000381469727","2","6700","ORL@PHI","PHI","ORL","","","","",""
"","","","","","","","","","","","","","29261-42148:Rondae Hollis-Jefferson","29261-42148","PF","Rondae","Rondae Hollis-Jefferson","Hollis-Jefferson","28.901471306295957","68","6700","BKN@IND","BKN","IND","O","Personal","","",""
"","","","","","","","","","","","","","29261-80814:Dennis Smith Jr.","29261-80814","PG","Dennis","Dennis Smith Jr.","Smith Jr.","30.899999618530273","1","6700","MIN@DAL","DAL","MIN","","","","",""
"","","","","","","","","","","","","","29261-9673:Goran Dragic","29261-9673","PG","Goran","Goran Dragic","Dragic","33.5","2","6700","CHA@MIA","MIA","CHA","","","","",""
"","","","","","","","","","","","","","29261-9692:Tyreke Evans","29261-9692","SF","Tyreke","Tyreke Evans","Evans","27.399999618530273","2","6700","BKN@IND","IND","BKN","","","","",""
"","","","","","","","","","","","","","29261-23120:TJ Warren","29261-23120","SF","TJ","TJ Warren","Warren","22.700000762939453","1","6600","PHO@DEN","PHO","DEN","","","","",""
"","","","","","","","","","","","","","29261-15628:Otto Porter Jr.","29261-15628","SF","Otto","Otto Porter Jr.","Porter Jr.","40.20000076293945","1","6600","TOR@WAS","WAS","TOR","","","","",""
"","","","","","","","","","","","","","29261-80808:Jayson Tatum","29261-80808","PF","Jayson","Jayson Tatum","Tatum","35.54999923706055","2","6600","BOS@NY","BOS","NY","","","","",""
"","","","","","","","","","","","","","29261-58312:D'Angelo Russell","29261-58312","PG","D'Angelo","D'Angelo Russell","Russell","25.450000762939453","2","6600","BKN@IND","BKN","IND","","","","",""
"","","","","","","","","","","","","","29261-15946:Harrison Barnes","29261-15946","SF","Harrison","Harrison Barnes","Barnes","30.03376750202922","77","6500","MIN@DAL","DAL","MIN","O","Hamstring","","",""
"","","","","","","","","","","","","","29261-9538:Trevor Ariza","29261-9538","SF","Trevor","Trevor Ariza","Ariza","44.099998474121094","1","6400","PHO@DEN","PHO","DEN","","","","",""
