Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS
2019-03-04,Dwyane Wade,6200,MIA,SG,ATL,,26.0,28.99,26,221.5,-500,115.75,115.75,50.18,9.4,31.11,5.02,W,31,10,17,0.588,1,2,0.5,2,4,0.5,0,2,2,5,0,2,4,3,23,-5,34.9
2019-03-04,Jae Crowder,5300,UTA,SF,NOP,,28.0,23.17,7,231.0,-450,120.25,0.5,49.28,5.35,24.65,4.65,L,32,8,13,0.615,4,7,0.5710000000000001,0,0,,3,3,6,1,1,1,0,2,20,-9,34.7
2019-03-04,Danilo Gallinari,7300,LAC,SF,@ LAL,,31.0,27.66,4,236.0,150,116.25,-0.5,56.78,11.8,31.72,4.35,W,28,9,15,0.6,3,5,0.6,2,3,0.667,0,6,6,1,0,1,1,2,23,1,33.7
2019-03-04,Caris LeVert,6300,BKN,SG,DAL,,29.0,41.52,25,226.5,-214,115.75,1.25,43.68,11.92,27.54,4.37,W,27,5,11,0.455,2,7,0.28600000000000003,6,8,0.75,0,5,5,5,1,0,1,2,18,25,33.5
2019-03-04,DeMarre Carroll,4300,BKN,SF,DAL,,25.0,24.57,11,226.5,-214,115.75,1.25,42.44,5.48,21.23,4.94,W,22,7,9,0.778,5,7,0.7140000000000001,3,4,0.75,0,5,5,4,0,0,1,3,22,33,33.0
2019-03-04,Dewayne Dedmon,5800,ATL,C,@ MIA,,27.0,27.94,2,221.5,400,105.75,105.75,43.13,11.34,27.14,4.68,L,27,5,6,0.833,2,3,0.667,2,4,0.5,3,3,6,2,3,0,1,0,14,-13,32.2
2019-03-04,Lou Williams,7400,LAC,SG,@ LAL,,28.0,33.0,30,236.0,150,116.25,-0.5,72.5,8.05,36.27,4.9,W,30,8,15,0.5329999999999999,0,4,0.0,5,5,1.0,2,1,3,5,1,0,3,0,21,8,32.1
2019-03-04,Donovan Mitchell,9300,UTA,SG,NOP,,36.0,36.94,7,231.0,-450,120.25,0.5,67.93,16.74,41.02,4.41,L,35,8,24,0.333,1,9,0.111,2,2,1.0,1,1,2,9,0,1,6,3,19,-7,31.9
2019-03-04,LaMarcus Aldridge,8600,SAS,PF,DEN,,33.0,26.72,5,229.5,-114,115.5,1,60.53,22.06,41.63,4.84,W,36,9,17,0.529,1,2,0.5,3,4,0.75,1,8,9,2,0,0,4,3,22,-3,31.8
2019-03-04,Luka Doncic,9800,DAL,SG,@ BKN,,34.0,27.29,21,226.5,180,110.75,1.25,66.16,32.85,47.26,4.82,L,29,6,16,0.375,3,7,0.429,1,4,0.25,1,5,6,1,1,2,2,1,16,-31,31.700000000000006
2019-03-04,Kent Bazemore,4400,ATL,SG,@ MIA,,29.0,22.45,1,221.5,400,105.75,105.75,47.11,10.2,27.71,6.3,L,28,5,16,0.313,2,9,0.222,6,8,0.75,3,4,7,3,0,0,0,4,18,-22,30.9
2019-03-04,Spencer Dinwiddie,6300,BKN,PG,DAL,,27.0,41.52,25,226.5,-214,115.75,1.25,46.23,6.67,27.78,4.41,W,20,6,8,0.75,1,3,0.333,3,5,0.6,0,2,2,5,2,0,1,2,16,18,30.9
2019-03-04,Willie Cauley-Stein,6100,SAC,C,NYK,,29.0,30.77,11,229.0,-650,120.0,-1.75,49.94,17.98,34.11,5.59,W,26,3,8,0.375,0,0,,3,5,0.6,1,6,7,5,2,0,0,2,9,5,30.9
2019-03-04,Montrezl Harrell,7200,LAC,PF,@ LAL,,29.0,32.8,20,236.0,150,116.25,-0.5,60.32,4.37,36.12,5.02,W,34,7,15,0.467,0,0,,0,2,0.0,1,10,11,5,0,0,4,5,14,11,30.700000000000006
2019-03-04,Malcolm Brogdon,6500,MIL,SG,@ PHO,,31.0,39.28,19,232.5,-1100,123.0,123,42.98,24.56,30.7,4.72,L,29,7,12,0.583,3,4,0.75,2,3,0.667,4,3,7,0,1,0,0,2,19,-7,30.4
2019-03-04,Vince Carter,3800,ATL,SF,@ MIA,,13.0,22.36,24,221.5,400,105.75,105.75,18.97,2.5,9.49,2.5,L,26,7,14,0.5,7,11,0.636,0,0,,0,4,4,1,1,0,0,1,21,1,30.3
2019-03-04,Rodions Kurucs,3600,BKN,PF,DAL,,20.0,28.17,5,226.5,-214,115.75,1.25,19.8,8.22,14.14,3.93,W,24,7,12,0.583,5,7,0.7140000000000001,0,0,,0,6,6,1,1,1,4,2,19,20,29.700000000000006
2019-03-04,Nikola Mirotic,5600,MIL,SF,@ PHO,,25.0,37.9,30,232.5,-1100,123.0,123,47.35,8.74,26.26,4.69,L,23,3,14,0.214,3,10,0.3,4,4,1.0,2,5,7,0,1,2,1,1,13,-19,29.4
