entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
29652-9642,PG,Russell,29652-9637,,,,
29652-9644,SG,James,Hamstring,,,
29652-9524,PG,Stephen,,,,
29652-9646,SF,Kevin,29652-14518,,,,
29652-14513,SF,Kawhi,29652-14518,,,,
29652-40203,C,Rudy,29652-9637,29652-14518,,,,
29652-12341,SF,Paul,,,,
29652-14528,SG,Jimmy,29652-14518,,,,
29652-58462,C,Karl-Anthony,29652-14518,,,,
29652-12332,PG,John,29652-9637,29652-14518,,,,
