Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2019-02-09,Eric Bledsoe,8200,MIL,PG,ORL,,33.0,40.55,22,221.5,-275,114.0,114,83.02,17.28,41.53,5.06,L,29,7,13,0.5379999999999999,2,4,0.5,3,6,0.5,2,9,11,5,0,0,1,4,19,-14,38.7,1.0,1.0
2019-02-09,Kemba Walker,10000,CHA,PG,@ ATL,,36.0,42.06,26,228.5,-125,115.0,-1,88.42,21.85,48.45,4.85,W,37,13,27,0.481,9,17,0.529,2,2,1.0,1,0,1,7,1,0,3,2,37,15,48.7,1.0,1.0
2019-02-09,Delon Wright,4300,MEM,SG,NOP,,26.0,23.72,24,214.5,-118,108.0,108,39.85,10.01,24.42,5.68,W,23,3,7,0.429,0,3,0.0,1,2,0.5,0,1,1,2,1,0,1,2,7,15,13.2,2.0,1.0
2019-02-09,Khris Middleton,6500,MIL,SG,ORL,,34.0,25.49,16,221.5,-275,114.0,114,52.97,12.91,37.41,5.76,L,32,4,17,0.235,0,4,0.0,3,3,1.0,2,10,12,4,1,0,1,2,11,-16,33.4,2.0,1.0
2019-02-09,Jabari Parker,3900,WAS,SF,@ CHI,,24.0,31.44,20,227.0,-133,114.5,114.5,43.84,4.33,23.43,6.01,W,35,9,15,0.6,0,3,0.0,2,2,1.0,0,5,5,6,1,2,4,0,20,5,40.0,3.0,1.0
2019-02-09,Bojan Bogdanovic,5800,IND,SF,CLE,,34.0,21.69,19,211.0,-1200,112.5,1,50.94,9.89,29.7,5.12,W,34,9,17,0.529,3,7,0.429,2,2,1.0,0,1,1,2,0,0,1,1,23,12,26.2,3.0,1.0
2019-02-09,Ivan Rabb,6400,MEM,PF,NOP,,32.0,32.19,13,214.5,-118,108.0,108,69.48,9.61,35.61,5.56,W,28,4,7,0.5710000000000001,0,0,,2,3,0.667,1,8,9,3,0,0,0,3,10,6,25.3,4.0,1.0
2019-02-09,Lauri Markkanen,7900,CHI,PF,WAS,,37.0,27.18,5,227.0,115,112.5,112.5,75.71,21.32,42.99,5.44,L,32,9,17,0.529,1,6,0.16699999999999998,1,2,0.5,3,8,11,4,0,0,1,2,20,-9,38.2,4.0,1.0
2019-02-09,Steven Adams,6900,OKC,C,@ HOU,,34.0,29.16,3,236.5,120,117.0,0.25,61.38,16.31,35.85,5.2,W,38,3,6,0.5,0,0,,0,0,,3,6,9,0,2,2,2,1,6,12,26.8,5.0,1.0
