Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Terry Rozier,3900,BOS,PG,@ BKN,,34.00,44.26,11,217.5,-138,110,-2.75,53.07,21.99,31.46,8.07
Jaylen Brown,4000,BOS,SG,@ BKN,,30.00,32.41,2,217.5,-138,110,-2.75,51.23,20.22,25.63,6.41
Gordon Hayward,5200,BOS,SF,@ BKN,,30.00,47.27,12,217.5,-138,110,-2.75,60.88,24.88,32.87,6.32
Patrick Beverley,3800,LAC,PG,NOP,,26.00,49.55,30,240,-111,120.5,-0.25,43.84,19.56,21.93,5.77
Spencer Dinwiddie,5700,BKN,PG,BOS,,32.00,47.47,7,217.5,120,107.5,-0.75,54.63,24.61,32.21,5.65
Marcus Morris,5100,BOS,PF,@ BKN,,30.00,32.41,2,217.5,-138,110,-2.75,46.04,20.75,28.58,5.6
Garrett Temple,3600,MEM,SG,@ HOU,,30.00,36.78,20,208.5,138,102.25,3.25,36.70,16.70,19.86,5.52
Jayson Tatum,6000,BOS,PF,@ BKN,,32.00,47.27,12,217.5,-138,110,-2.75,47.87,20.18,32.92,5.49
Nene Hilario,3500,HOU,C,MEM,,20.00,48.82,2,208.5,-160,106.25,0.75,35.83,14.09,19.22,5.49
Avery Bradley,3500,LAC,SG,NOP,,28.00,35.84,17,240,-111,120.5,-0.25,31.72,13.77,18.89,5.4
Royce O'Neale,4900,UTA,SF,DET,,37.00,35.22,8,208,-333,108,-0.75,39.98,16.22,26.2,5.35
Patty Mills,3700,SAS,PG,CHA,,22.00,42.42,21,220,-333,114.25,-1.5,38.38,19.20,19.2,5.19
Tobias Harris,7600,LAC,PF,NOP,,33.00,47.54,14,240,-111,120.5,-0.25,61.77,22.55,39.42,5.19
E'Twaun Moore,4200,NOP,SF,@ LAC,,29.00,33.07,6,240,-105,119.5,1.25,34.14,15.36,21.54,5.13
Evan Turner,4500,POR,SF,@ SAC,,26.00,43.78,9,228,120,112.75,0.25,36.88,16.30,23.02,5.12
LaMarcus Aldridge,8600,SAS,PF,CHA,,34.00,59.74,27,220,-333,114.25,-1.5,61.73,20.76,43.26,5.03
Marcin Gortat,3700,LAC,C,NOP,,16.00,52.38,12,240,-111,120.5,-0.25,30.50,10.90,18.54,5.01
Shai Gilgeous-Alexander,4100,LAC,PG,NOP,,22.00,49.55,30,240,-111,120.5,-0.25,28.71,8.84,20.51,5
