Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Maxi Kleber,3700,DAL,PF,@ BOS,,14.00,41.96,2,212.5,150,104.25,104.25,19.76,9.96,12.07,3.26
Tyus Jones,6500,MIN,PG,ORL,,24.00,37.09,6,214,-160,109,109,29.53,11.50,21.17,3.26
Mike Scott,3500,LAC,PF,@ PHO,,14.00,48.21,17,234.5,-188,119.5,1.5,22.45,6.29,11.23,3.21
Sam Dekker,3700,WAS,SF,@ MIA,,16.00,36.82,17,212,210,102.75,-1,19.85,9.90,11.79,3.19
Tony Snell,3600,MIL,SG,ATL,,17.00,43.39,30,230,-1000,121.75,-0.5,19.65,10.17,11.28,3.13
Devin Harris,3500,DAL,PG,@ BOS,,15.00,48.63,10,212.5,150,104.25,104.25,19.26,10.88,10.88,3.11
Semi Ojeleye,3500,BOS,SF,DAL,,19.00,36.51,15,212.5,-175,108.25,108.25,21.12,10.85,10.85,3.1
Frank Ntilikina,3600,NYK,PG,@ LAL,,18.00,33.97,1,222,180,108.25,108.25,17.28,9.44,10.82,3.01
Jerian Grant,3500,ORL,PG,@ MIN,,12.00,34.85,2,214,150,105,105,16.34,8.66,9.86,2.82
Guerschon Yabusele,3500,BOS,PF,DAL,,12.00,46.04,9,212.5,-175,108.25,108.25,18.42,9.87,9.87,2.82
Jabari Parker,4500,CHI,SF,IND,,12.00,46.40,10,200.5,210,97,-1,20.62,10.26,12.04,2.68
Derrick Jones,3900,MIA,SF,WAS,,13.00,39.38,27,212,-250,109.25,-1.5,19.50,10.42,10.42,2.67
Jamal Crawford,3700,PHO,SG,LAC,,14.00,48.39,24,234.5,163,115,1,17.29,9.72,9.72,2.63
Anthony Tolliver,3500,MIN,PF,ORL,,12.00,48.64,18,214,-160,109,109,16.87,8.86,8.86,2.53
Tyrone Wallace,3500,LAC,SG,@ PHO,,12.00,47.36,22,234.5,-188,119.5,1.5,14.17,4.97,8.87,2.53
