Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Josh Jackson,4000,PHO,PF,@ LAL,,32.00,49.58,26,221.5,500,105.25,-0.75,44.98,20.50,30.37,7.59
Dwight Powell,3700,DAL,PF,LAC,,22.00,53.94,13,223.5,138,110,-1.25,38.38,19.56,24.51,6.62
Wesley Matthews,4700,DAL,SG,LAC,,34.00,33.01,6,223.5,138,110,-1.25,41.56,17.44,28.35,6.03
Mike Muscala,3800,PHI,C,MEM,,26.00,53.52,11,212,-250,109.25,-1,43.11,22.64,22.64,5.96
Davis Bertans,3500,SAS,SF,POR,,22.00,55.66,18,217,-105,108,-0.5,35.49,16.34,20.43,5.84
Willy Hernangomez,3600,CHA,C,NOP,,16.00,51.13,10,233.5,-143,118,-1.25,38.03,20.19,20.86,5.79
Avery Bradley,3500,LAC,SG,@ DAL,,30.00,30.87,3,223.5,-160,113.5,-0.25,30.08,13.18,20.15,5.76
Bryn Forbes,3700,SAS,PG,POR,,28.00,38.90,24,217,-105,108,-0.5,29.85,12.57,20.67,5.59
Rudy Gay,5800,SAS,SF,POR,,27.00,51.83,24,217,-105,108,-0.5,41.38,16.16,32.38,5.58
Tim Frazier,4400,NOP,PG,@ CHA,,28.00,42.31,14,233.5,125,115.5,-0.75,39.51,16.28,24.12,5.48
Patrick Beverley,3500,LAC,PG,@ DAL,,20.00,45.26,23,223.5,-160,113.5,-0.25,36.58,19.13,19.13,5.47
Patty Mills,3700,SAS,PG,POR,,22.00,44.98,4,217,-105,108,-0.5,29.71,15.38,19.74,5.34
LaMarcus Aldridge,8000,SAS,PF,POR,,34.00,55.66,18,217,-105,108,-0.5,61.60,27.07,42.57,5.32
Jeremy Lamb,6200,CHA,SG,NOP,,30.00,49.64,27,233.5,-143,118,-1.25,45.36,19.60,32.94,5.31
Al-Farouq Aminu,4700,POR,PF,@ SAS,,30.00,35.70,15,217,-111,109,1.5,38.37,18.71,24.98,5.31
Nicolas Batum,5400,CHA,SF,NOP,,32.00,39.84,26,233.5,-143,118,-1.25,39.42,20.46,28.5,5.28
James Johnson,4100,MIA,PF,UTA,,21.00,49.33,19,208,150,102.25,-0.25,28.37,11.15,21.56,5.26
Harrison Barnes,6000,DAL,SF,LAC,,35.00,51.84,25,223.5,138,110,-1.25,39.89,18.31,31.51,5.25
Devin Booker,8200,PHO,SG,@ LAL,,35.00,49.84,21,221.5,500,105.25,-0.75,64.62,24.63,42.46,5.18
Marvin Williams,4900,CHA,PF,NOP,,27.00,47.67,14,233.5,-143,118,-1.25,41.97,21.44,25.19,5.14
J.J. Redick,5600,PHI,SG,MEM,,32.00,35.01,12,212,-250,109.25,-1,38.25,18.54,28.74,5.13
Kelly Olynyk,3700,MIA,PF,UTA,,21.00,57.73,22,208,150,102.25,-0.25,28.14,15.86,18.9,5.11
Kyle Kuzma,6300,LAL,PF,PHO,,33.00,49.18,17,221.5,-667,116.25,-0.75,41.34,18.03,32.02,5.08
Garrett Temple,4100,MEM,SG,@ PHI,,32.00,32.04,4,212,210,102.75,-0.5,33.45,14.96,20.84,5.08
Shai Gilgeous-Alexander,5400,LAC,PG,@ DAL,,31.00,50.78,23,223.5,-160,113.5,-0.25,31.96,10.04,27.29,5.05
Josh Hart,3600,LAL,SG,PHO,,24.00,34.63,11,221.5,-667,116.25,-0.75,30.47,14.31,18.02,5.01
Trevor Ariza,5000,PHO,SF,@ LAL,,35.00,35.38,13,221.5,500,105.25,-0.75,32.94,12.28,25.01,5
DeAndre Jordan,7700,DAL,C,LAC,,33.00,59.99,27,223.5,138,110,-1.25,47.68,22.98,38.36,4.98
Ricky Rubio,6400,UTA,PG,@ MIA,,31.00,40.89,12,208,-175,105.75,-0.75,43.04,16.94,31.6,4.94
Royce O'Neale,3700,UTA,SF,@ MIA,,23.00,38.11,23,208,-175,105.75,-0.75,27.06,13.54,18.25,4.93
Jae Crowder,4500,UTA,SF,@ MIA,,28.00,38.11,23,208,-175,105.75,-0.75,37.36,16.96,22.08,4.91
Shelvin Mack,4000,MEM,PG,@ PHI,,24.00,37.10,3,212,210,102.75,-0.5,30.25,15.16,19.54,4.89
DeMar DeRozan,8600,SAS,SG,POR,,35.00,43.09,8,217,-105,108,-0.5,57.64,20.15,41.89,4.87
Tyson Chandler,3600,LAL,C,PHO,,20.00,62.96,29,221.5,-667,116.25,-0.75,32.86,17.48,17.48,4.86
Frank Kaminsky,3600,CHA,PF,NOP,,19.00,57.90,23,233.5,-143,118,-1.25,28.25,14.38,17.45,4.85
Elie Okobo,4400,PHO,PG,@ LAL,,28.00,38.81,6,221.5,500,105.25,-0.75,24.99,7.85,21.34,4.85
Kyle Anderson,5700,MEM,SF,@ PHI,,33.00,35.62,14,212,210,102.75,-0.5,37.98,14.01,27.58,4.84
Julius Randle,7300,NOP,C,@ CHA,,27.00,51.08,6,233.5,125,115.5,-0.75,49.99,27.16,35.18,4.82
Kemba Walker,9400,CHA,PG,NOP,,36.00,49.67,20,233.5,-143,118,-1.25,60.38,22.60,45.3,4.82
C.J. McCollum,6800,POR,SG,@ SAS,,34.00,48.37,23,217,-111,109,1.5,43.70,18.52,32.61,4.8
Ben Simmons,9400,PHI,PG,MEM,,36.00,45.25,22,212,-250,109.25,-1,58.75,19.19,45.05,4.79
Dwyane Wade,5700,MIA,SG,UTA,,26.00,39.65,1,208,150,102.25,-0.25,38.16,17.98,27.2,4.77
Dennis Smith Jr.,6000,DAL,PG,LAC,,30.00,51.34,25,223.5,138,110,-1.25,38.64,15.64,28.64,4.77
JaVale McGee,6400,LAL,C,PHO,,24.00,62.96,29,221.5,-667,116.25,-0.75,42.93,18.71,30.47,4.76
Anthony Davis,12300,NOP,PF,@ CHA,,37.00,51.08,6,233.5,125,115.5,-0.75,86.48,29.92,58.43,4.75
LeBron James,11000,LAL,SF,PHO,,35.00,49.18,17,221.5,-667,116.25,-0.75,63.04,21.88,52.1,4.74
Michael Kidd-Gilchrist,4200,CHA,SF,NOP,,21.00,39.84,26,233.5,-143,118,-1.25,32.86,16.92,19.81,4.72
Brandon Ingram,6300,LAL,SF,PHO,,33.00,52.07,29,221.5,-667,116.25,-0.75,45.44,18.27,29.76,4.72
Derrick White,3900,SAS,PG,POR,,27.00,38.64,5,217,-105,108,-0.5,33.56,15.83,18.34,4.7
Justise Winslow,4800,MIA,SF,UTA,,24.00,30.15,1,208,150,102.25,-0.25,34.71,16.75,22.58,4.7
Nikola Mirotic,8000,NOP,SF,@ CHA,,34.00,49.31,18,233.5,125,115.5,-0.75,56.53,24.26,37.56,4.7
Lonzo Ball,6700,LAL,PG,PHO,,32.00,45.55,24,221.5,-667,116.25,-0.75,41.54,16.07,31.21,4.66
Damian Lillard,9600,POR,PG,@ SAS,,36.00,49.23,19,217,-111,109,1.5,56.53,21.70,44.55,4.64
JaMychal Green,4600,MEM,PF,@ PHI,,22.00,55.40,17,212,210,102.75,-0.5,35.57,18.62,21.31,4.63
T.J. McConnell,3700,PHI,PG,MEM,,21.00,45.25,22,212,-250,109.25,-1,27.92,14.45,17.1,4.62
Jaren Jackson,7000,MEM,PF,@ PHI,,30.00,55.40,17,212,210,102.75,-0.5,33.14,6.63,32.05,4.58
Donovan Mitchell,7900,UTA,SG,@ MIA,,34.00,50.55,22,208,-175,105.75,-0.75,47.21,19.94,36.12,4.57
Bam Adebayo,4600,MIA,C,UTA,,24.00,51.46,11,208,150,102.25,-0.25,30.96,18.58,21.02,4.57
Rodney McGruder,5000,MIA,SG,UTA,,33.00,33.74,7,208,150,102.25,-0.25,35.49,14.24,22.82,4.56
Tony Parker,3800,CHA,PG,NOP,,19.00,58.87,30,233.5,-143,118,-1.25,29.01,17.26,17.26,4.54
Malik Monk,3700,CHA,SG,NOP,,20.00,49.67,20,233.5,-143,118,-1.25,25.77,13.84,16.78,4.54
Joel Embiid,11200,PHI,C,MEM,,35.00,53.52,11,212,-250,109.25,-1,61.61,21.52,50.75,4.53
Joe Ingles,5800,UTA,SF,@ MIA,,32.00,36.66,20,208,-175,105.75,-0.75,40.07,17.47,26.19,4.52
Jakob Poeltl,3800,SAS,C,POR,,17.00,54.08,18,217,-105,108,-0.5,34.30,15.24,17.16,4.52
Jrue Holiday,8900,NOP,SG,@ CHA,,36.00,48.27,15,233.5,125,115.5,-0.75,54.58,19.16,40.16,4.51
Derrick Favors,5900,UTA,PF,@ MIA,,25.00,51.75,9,208,-175,105.75,-0.75,35.05,16.39,26.61,4.51
Lou Williams,6200,LAC,SG,@ DAL,,24.00,48.27,22,223.5,-160,113.5,-0.25,42.55,17.07,27.9,4.5
