Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Zaza Pachulia,3600,DET,C,@ WAS,,32.00,56.42,23,216,210,105.25,105.25,53.78,12.40,31.54,8.76
Lance Stephenson,3500,LAL,SF,GSW,,23.00,42.32,3,233,600,110.25,-2,43.23,4.40,22.02,6.29
Ante Zizic,4700,CLE,C,CHI,,32.00,57.60,25,212.5,115,105,-0.75,48.26,12.28,29.02,6.17
Taurean Prince,4100,ATL,SF,ORL,,25.00,32.14,2,221.5,-133,111.75,111.75,45.63,6.45,25.18,6.14
Chandler Hutchison,3800,CHI,SF,@ CLE,,30.00,37.63,19,212.5,-133,107.5,-0.25,32.58,16.17,23.27,6.12
DeMarcus Cousins,5100,GSW,C,@ LAL,,21.00,56.74,21,233,-800,122.75, ,42.70,13.91,29.86,5.85
Wilson Chandler,4000,PHI,SF,HOU,,32.00,37.22,16,234,-175,119,-0.5,38.48,9.26,23.14,5.79
Josh Hart,4900,LAL,SG,GSW,,33.00,39.36,28,233,600,110.25,-2,42.82,11.98,27.1,5.53
Bobby Portis,5200,CHI,PF,@ CLE,,28.00,53.09,12,212.5,-133,107.5,-0.25,56.59,5.44,28.31,5.44
Rodions Kurucs,4200,BKN,PF,SAC,,26.00,50.52,26,231.5,-160,117.5,1,31.92,18.06,22.8,5.43
Collin Sexton,4800,CLE,PG,CHI,,31.00,51.56,22,212.5,115,105,-0.75,36.34,15.08,25.96,5.41
Marc Gasol,7400,MEM,C,NOP,,33.00,55.04,18,222.5,-150,112.75,112.75,64.85,20.24,39.69,5.36
Nikola Mirotic,6100,NOP,SF,@ MEM,,31.00,41.84,1,222.5,130,109.75,109.75,58.74,10.85,32.58,5.34
Kenneth Faried,3800,HOU,PF,@ PHI,,22.00,53.18,15,234,150,115,0.5,28.47,15.56,20.02,5.27
Kentavious Caldwell-Pope,4600,LAL,SG,GSW,,31.00,39.36,28,233,600,110.25,-2,38.11,11.01,23.94,5.2
Spencer Dinwiddie,5900,BKN,PG,SAC,,28.00,52.08,26,231.5,-160,117.5,1,51.94,8.03,30.55,5.18
Jonathan Isaac,4800,ORL,SF,@ ATL,,30.00,57.40,24,221.5,115,109.75,109.75,45.03,7.53,24.78,5.16
Zach LaVine,6700,CHI,SG,@ CLE,,32.00,56.43,30,212.5,-133,107.5,-0.25,53.08,16.90,34.56,5.16
George Hill,3700,MIL,PG,DAL,,21.00,42.13,20,226.5,-667,119, ,36.94,5.27,19.11,5.16
Gordon Hayward,5200,BOS,SF,MIA,,25.00,48.95,23,213.5,-400,111,-0.25,53.43,8.66,26.73,5.14
Kevin Knox,5300,NYK,PF,OKC,,32.00,45.09,14,226,360,108.5,-0.75,38.16,21.59,27.26,5.14
J.J. Redick,5600,PHI,SG,HOU,,33.00,35.61,16,234,-175,119,-0.5,48.34,11.61,28.67,5.12
Omri Casspi,4500,MEM,SF,NOP,,20.00,42.01,29,222.5,-150,112.75,112.75,45.88,5.05,22.95,5.1
D'Angelo Russell,7900,BKN,SG,SAC,,31.00,52.08,26,231.5,-160,117.5,1,62.96,19.41,40.1,5.08
Nerlens Noel,3500,OKC,C,@ NYK,,16.00,57.79,26,226,-450,117.5,-0.75,35.04,3.41,17.59,5.03
Al Horford,6300,BOS,C,MIA,,30.00,55.14,19,213.5,-400,111,-0.25,49.45,15.48,31.66,5.03
Austin Rivers,5300,HOU,SG,@ PHI,,36.00,39.57,10,234,150,115,0.5,49.37,12.32,26.67,5.03
