Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Gerald Green,3500,HOU,SF,MEM,,29.00,41.02,2,201,-175,102.5, ,43.50,20.46,25.2,7.2
Jerian Grant,3500,ORL,PG,@ CHA,,27.00,43.21,23,210.5,300,101,-0.25,39.43,20.99,23.88,6.82
Austin Rivers,3800,HOU,SG,MEM,,35.00,39.96,13,201,-175,102.5, ,44.41,17.06,25.58,6.73
Davis Bertans,3800,SAS,SF,BOS,,27.00,49.00,5,218,105,108.25, ,44.35,20.45,25.56,6.73
Tyus Jones,4500,MIN,PG,@ NOP,,34.00,49.49,30,226.5,200,110.5,-1.5,52.69,28.13,29.21,6.49
Jakob Poeltl,3900,SAS,C,BOS,,23.00,50.50,7,218,105,108.25, ,47.57,21.41,24.11,6.18
Jeremy Lin,4100,ATL,PG,@ IND,,24.00,45.98,4,221,600,104,-0.75,37.04,18.49,23.76,5.8
Josh Jackson,4200,PHO,PF,GSW,,24.00,42.61,7,230.5,400,110.25,2.75,33.78,15.06,24.06,5.73
Jahlil Okafor,3500,NOP,C,MIN,,20.00,50.78,9,226.5,-225,116,-1.5,34.32,16.79,19.85,5.67
Michael Kidd-Gilchrist,4000,CHA,SF,ORL,,24.00,34.63,7,210.5,-350,109.5,0.75,37.36,19.23,22.52,5.63
Alex Len,4500,ATL,C,@ IND,,24.00,49.67,4,221,600,104,-0.75,34.78,14.89,24.77,5.5
Danuel House,4200,HOU,SF,MEM,,30.00,45.28,1,201,-175,102.5, ,38.19,17.43,23.05,5.49
Taj Gibson,4600,MIN,PF,@ NOP,,27.00,51.98,13,226.5,200,110.5,-1.5,34.86,12.97,25.19,5.48
Jeremy Lamb,6400,CHA,SG,ORL,,33.00,46.26,17,210.5,-350,109.5,0.75,48.10,20.78,34.93,5.46
E'Twaun Moore,4700,NOP,SF,MIN,,34.00,37.75,23,226.5,-225,116,-1.5,41.44,21.00,25.61,5.45
Bryn Forbes,4400,SAS,PG,BOS,,32.00,49.25,12,218,105,108.25, ,34.37,14.39,23.7,5.39
Kevon Looney,4200,GSW,C,@ PHO,,23.00,60.53,29,230.5,-500,120.25,1.75,32.54,14.34,22.44,5.34
Terrence Ross,5300,ORL,SG,@ CHA,,33.00,37.46,22,210.5,300,101,-0.25,43.36,23.89,28.01,5.28
P.J. Tucker,4700,HOU,PF,MEM,,37.00,35.68,12,201,-175,102.5, ,48.44,20.90,24.79,5.27
DeAndre Bembry,4100,ATL,SF,@ IND,,26.00,35.02,10,221,600,104,-0.75,31.92,12.80,21.58,5.26
Dario Saric,4400,MIN,PF,@ NOP,,24.00,48.43,16,226.5,200,110.5,-1.5,38.38,19.40,23.04,5.24
Solomon Hill,3500,NOP,SF,MIN,,28.00,39.40,27,226.5,-225,116,-1.5,34.19,18.35,18.35,5.24
Patty Mills,3500,SAS,PG,BOS,,20.00,39.53,11,218,105,108.25, ,27.68,14.20,18.27,5.22
Kelly Oubre,4200,PHO,SF,GSW,,25.00,36.91,17,230.5,400,110.25,2.75,37.78,17.97,21.94,5.22
Dillon Brooks,3600,MEM,SG,@ HOU,,25.00,46.35,18,201,150,98.5,1.5,35.63,18.76,18.76,5.21
Marcus Smart,4700,BOS,SG,@ SAS,,28.00,50.73,19,218,-118,109.75, ,33.63,13.66,24.44,5.2
Andre Iguodala,3800,GSW,SG,@ PHO,,22.00,33.23,4,230.5,-500,120.25,1.75,30.12,11.50,19.62,5.16
Julius Randle,8300,NOP,C,MIN,,36.00,52.09,9,226.5,-225,116,-1.5,58.65,24.59,42.84,5.16
Marco Belinelli,3700,SAS,SG,BOS,,23.00,33.21,6,218,105,108.25, ,28.23,14.54,19.01,5.14
Willy Hernangomez,4100,CHA,C,ORL,,16.00,54.10,20,210.5,-350,109.5,0.75,37.77,20.06,20.72,5.05
Evan Fournier,6200,ORL,SG,@ CHA,,33.00,37.46,22,210.5,300,101,-0.25,40.16,16.71,31.18,5.03
Garrett Temple,4100,MEM,SG,@ HOU,,30.00,36.32,19,201,150,98.5,1.5,33.13,14.82,20.64,5.03
Victor Oladipo,9000,IND,SG,ATL,,33.00,54.39,29,221,-800,117,0.75,62.72,29.08,45.09,5.01
Kevin Huerter,4600,ATL,SG,@ IND,,32.00,33.33,8,221,600,104,-0.75,21.74,2.58,23.03,5.01
Dennis Schroder,5800,OKC,SG,DAL,,26.00,54.37,28,223,-275,115,-1.25,44.19,23.66,28.92,4.99
Andrew Wiggins,6300,MIN,SG,@ NOP,,35.00,49.99,28,226.5,200,110.5,-1.5,41.20,17.82,31.38,4.98
Mikal Bridges,4700,PHO,SF,GSW,,31.00,36.91,17,230.5,400,110.25,2.75,25.66,9.46,23.24,4.94
Harrison Barnes,5800,DAL,SF,@ OKC,,34.00,46.18,9,223,240,108,-1.25,36.18,16.38,28.38,4.89
Wes Iwundu,3500,ORL,SF,@ CHA,,25.00,38.41,24,210.5,300,101,-0.25,34.20,17.11,17.11,4.89
Jonas Jerebko,3700,GSW,PF,@ PHO,,21.00,48.57,17,230.5,-500,120.25,1.75,32.85,14.08,18.1,4.89
Draymond Green,7000,GSW,PF,@ PHO,,33.00,55.67,21,230.5,-500,120.25,1.75,42.05,15.13,34.08,4.87
Jaylen Brown,4000,BOS,SG,@ SAS,,22.00,38.10,21,218,-118,109.75, ,35.91,16.09,19.39,4.85
Dennis Smith Jr.,5200,DAL,PG,@ OKC,,28.00,46.92,5,223,240,108,-1.25,34.66,14.33,25.19,4.84
Steven Adams,6800,OKC,C,DAL,,32.00,49.37,2,223,-275,115,-1.25,44.63,21.87,32.94,4.84
Tyreke Evans,4800,IND,SF,ATL,,20.00,49.66,27,221,-800,117,0.75,30.93,13.11,23.24,4.84
Al Horford,6100,BOS,C,@ SAS,,29.00,48.82,4,218,-118,109.75, ,40.10,16.24,29.53,4.84
Devin Booker,9000,PHO,SG,GSW,,35.00,49.32,13,230.5,400,110.25,2.75,64.63,23.56,43.46,4.83
De'Anthony Melton,4100,PHO,PG,GSW,,21.00,49.32,13,230.5,400,110.25,2.75,21.84,8.05,19.78,4.82
Gordon Hayward,5500,BOS,SF,@ SAS,,27.00,50.03,23,218,-118,109.75, ,39.00,18.28,26.42,4.8
Aaron Gordon,7500,ORL,PF,@ CHA,,35.00,49.92,22,210.5,300,101,-0.25,46.46,19.83,35.99,4.8
Terry Rozier,3900,BOS,PG,@ SAS,,19.00,45.54,13,218,-118,109.75, ,29.61,15.94,18.67,4.79
Nicolas Batum,4900,CHA,SF,ORL,,31.00,34.63,7,210.5,-350,109.5,0.75,32.45,16.84,23.46,4.79
Domantas Sabonis,7000,IND,PF,ATL,,25.00,58.29,26,221,-800,117,0.75,49.74,25.97,33.38,4.77
John Collins,8000,ATL,PF,@ IND,,33.00,49.67,4,221,600,104,-0.75,59.57,23.70,38.16,4.77
Myles Turner,7600,IND,C,ATL,,31.00,60.25,28,221,-800,117,0.75,59.15,27.13,36.22,4.77
LaMarcus Aldridge,8000,SAS,PF,BOS,,33.00,49.00,5,218,105,108.25, ,55.29,24.14,38.08,4.76
J.J. Barea,4600,DAL,PG,@ OKC,,20.00,46.92,5,223,240,108,-1.25,32.68,15.71,21.7,4.72
Vince Carter,3800,ATL,SF,@ IND,,23.00,33.33,8,221,600,104,-0.75,30.05,15.74,17.95,4.72
DeAndre Jordan,7200,DAL,C,@ OKC,,34.00,50.71,8,223,240,108,-1.25,42.41,20.26,33.93,4.71
Robert Covington,6500,MIN,SF,@ NOP,,35.00,41.48,29,226.5,200,110.5,-1.5,44.59,19.62,30.56,4.7
James Harden,12600,HOU,SG,MEM,,39.00,45.28,1,201,-175,102.5, ,68.40,21.67,59.22,4.7
TJ Warren,7000,PHO,SF,GSW,,36.00,42.61,7,230.5,400,110.25,2.75,43.28,18.92,32.91,4.7
Kyle Anderson,6000,MEM,SF,@ HOU,,33.00,35.70,13,201,150,98.5,1.5,38.79,14.31,28.17,4.7
Cody Zeller,5200,CHA,C,ORL,,26.00,54.10,20,210.5,-350,109.5,0.75,35.19,13.74,24.44,4.7
Brandon Knight,3500,HOU,PG,MEM,,20.00,45.28,1,201,-175,102.5, ,22.92,11.94,16.42,4.69
Darren Collison,5300,IND,PG,ATL,,27.00,41.89,21,221,-800,117,0.75,33.59,15.28,24.88,4.69
Marvin Williams,5900,CHA,PF,ORL,,32.00,49.24,21,210.5,-350,109.5,0.75,45.86,23.43,27.53,4.67
Deandre Ayton,8000,PHO,C,GSW,,32.00,54.34,21,230.5,400,110.25,2.75,41.02,15.12,37.16,4.65
Karl-Anthony Towns,9800,MIN,C,@ NOP,,36.00,54.21,15,226.5,200,110.5,-1.5,60.66,24.82,45.3,4.62
Jerami Grant,5800,OKC,PF,DAL,,32.00,45.91,8,223,-275,115,-1.25,42.81,18.44,26.72,4.61
JaMychal Green,4500,MEM,PF,@ HOU,,22.00,53.26,10,201,150,98.5,1.5,34.63,18.14,20.75,4.61
Russell Westbrook,11700,OKC,PG,DAL,,35.00,54.37,28,223,-275,115,-1.25,59.99,18.05,53.56,4.58
Thaddeus Young,6400,IND,PF,ATL,,31.00,52.16,27,221,-800,117,0.75,41.80,15.64,29.23,4.57
Nikola Vucevic,10000,ORL,C,@ CHA,,33.00,57.59,23,210.5,300,101,-0.25,59.39,22.47,45.58,4.56
Wesley Matthews,4900,DAL,SG,@ OKC,,28.00,39.61,26,223,240,108,-1.25,39.01,16.60,22.34,4.56
Bojan Bogdanovic,5500,IND,SF,ATL,,34.00,41.01,30,221,-800,117,0.75,39.46,20.72,25.02,4.55
Elfrid Payton,6200,NOP,PG,MIN,,28.00,34.68,2,226.5,-225,116,-1.5,38.82,14.71,28.07,4.53
DeMar DeRozan,9000,SAS,SG,BOS,,34.00,42.31,4,218,105,108.25, ,56.17,19.58,40.79,4.53
Clint Capela,8700,HOU,C,MEM,,35.00,49.64,3,201,-175,102.5, ,59.16,23.22,39.36,4.52
Stephen Curry,10100,GSW,PG,@ PHO,,33.00,52.97,24,230.5,-500,120.25,1.75,62.96,24.84,45.49,4.5
Trae Young,6800,ATL,PG,@ IND,,30.00,45.98,4,221,600,104,-0.75,28.87,3.42,30.58,4.5
Kevin Durant,10500,GSW,SF,@ PHO,,33.00,48.57,17,230.5,-500,120.25,1.75,60.66,24.46,46.95,4.47
Kyrie Irving,9400,BOS,PG,@ SAS,,34.00,50.73,19,218,-118,109.75, ,55.92,22.35,41.7,4.44
Gorgui Dieng,3800,MIN,C,@ NOP,,16.00,51.98,13,226.5,200,110.5,-1.5,25.76,12.26,16.86,4.44
Jayson Tatum,6700,BOS,PF,@ SAS,,32.00,50.03,23,218,-118,109.75, ,37.69,15.85,29.68,4.43
Marc Gasol,8600,MEM,C,@ HOU,,33.00,53.26,10,201,150,98.5,1.5,51.17,21.83,37.96,4.41
Nene Hilario,3500,HOU,C,MEM,,15.00,49.64,3,201,-175,102.5, ,25.49,13.57,15.28,4.37
Paul George,10300,OKC,SF,DAL,,36.00,45.91,8,223,-275,115,-1.25,62.24,27.39,44.46,4.32
Jrue Holiday,9300,NOP,SG,MIN,,36.00,49.64,14,226.5,-225,116,-1.5,53.68,18.56,39.82,4.28
Jonathan Isaac,5000,ORL,SF,@ CHA,,27.00,57.59,23,210.5,300,101,-0.25,33.82,16.43,21.39,4.28
Cory Joseph,4200,IND,PG,ATL,,24.00,41.89,21,221,-800,117,0.75,32.65,14.55,17.99,4.28
Marcus Morris,6000,BOS,PF,@ SAS,,29.00,38.10,21,218,-118,109.75, ,34.60,13.28,25.63,4.27
Klay Thompson,7100,GSW,SG,@ PHO,,33.00,33.23,4,230.5,-500,120.25,1.75,40.66,17.63,30.3,4.27
Mike Conley,8700,MEM,PG,@ HOU,,34.00,38.50,10,201,150,98.5,1.5,54.97,22.20,37.07,4.26
Dorian Finney-Smith,3600,DAL,SF,@ OKC,,22.00,37.84,20,223,240,108,-1.25,24.17,12.09,15.31,4.25
Darius Miller,3800,NOP,SF,MIN,,28.00,39.40,27,226.5,-225,116,-1.5,25.71,13.30,15.93,4.19
Josh Okogie,4300,MIN,SG,@ NOP,,24.00,49.99,28,226.5,200,110.5,-1.5,18.07,3.31,17.87,4.16
Derrick White,4900,SAS,PG,BOS,,27.00,39.53,11,218,105,108.25, ,32.99,16.97,20.4,4.16
Mohamed Bamba,3900,ORL,C,@ CHA,,17.00,53.10,18,210.5,300,101,-0.25,16.87,3.89,15.93,4.08
Jaren Jackson,6100,MEM,PF,@ HOU,,29.00,53.26,10,201,150,98.5,1.5,25.71,5.15,24.86,4.08
Kemba Walker,10300,CHA,PG,ORL,,35.00,47.42,7,210.5,-350,109.5,0.75,55.60,20.81,41.71,4.05
Nerlens Noel,3700,OKC,C,DAL,,13.00,49.37,2,223,-275,115,-1.25,26.19,12.71,14.87,4.02
Tony Parker,3700,CHA,PG,ORL,,17.00,36.58,5,210.5,-350,109.5,0.75,24.49,14.57,14.57,3.94
Shaun Livingston,3500,GSW,PG,@ PHO,,16.00,44.39,25,230.5,-500,120.25,1.75,22.17,10.86,13.76,3.93
Daniel Hamilton,3500,ATL,SG,@ IND,,18.00,33.33,8,221,600,104,-0.75,14.52,3.57,13.67,3.91
Justin Anderson,3500,ATL,SG,@ IND,,14.00,35.02,10,221,600,104,-0.75,21.33,10.22,13.7,3.91
Daniel Theis,3700,BOS,PF,@ SAS,,15.00,51.83,11,218,-118,109.75, ,23.49,12.86,14.23,3.85
Hamidou Diallo,3500,OKC,SG,DAL,,16.00,31.66,3,223,-275,115,-1.25,13.89,2.64,13.47,3.85
Luka Doncic,8500,DAL,SG,@ OKC,,34.00,44.35,10,223,240,108,-1.25,30.68,3.64,32.5,3.82
Terrance Ferguson,3500,OKC,SG,DAL,,22.00,31.66,3,223,-275,115,-1.25,21.69,8.75,13.18,3.77
Shelvin Mack,3500,MEM,PG,@ HOU,,14.00,38.50,10,201,150,98.5,1.5,20.08,10.06,12.97,3.71
Eric Moreland,3500,PHO,PF,GSW,,14.00,54.34,21,230.5,400,110.25,2.75,23.39,12.86,12.86,3.67
Malik Monk,3600,CHA,SG,ORL,,16.00,47.42,7,210.5,-350,109.5,0.75,20.21,10.86,13.16,3.66
Alex Poythress,3500,ATL,PF,@ IND,,16.00,46.54,10,221,600,104,-0.75,16.11,11.15,12.39,3.54
Ian Clark,3500,NOP,SG,MIN,,18.00,37.75,23,226.5,-225,116,-1.5,19.33,11.89,11.89,3.4
