Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Ryan Arcidiacono,3600,CHI,PG,@ TOR,,34.00,21.61,19,219,800,102.5,102.5,52.49,9.14,26.26,7.29
Troy Brown Jr.,3500,WAS,SF,@ LAL,,28.00,25.91,19,236.5,115,117.25,1.5,32.31,18.67,23.08,6.59
Shaquille Harrison,4800,CHI,PG,@ TOR,,35.00,21.61,19,219,800,102.5,102.5,49.41,13.91,30.24,6.3
Jahlil Okafor,3500,NOP,C,ATL,,21.00,33.28,22,242,120,119.75,-0.75,43.40,5.43,21.71,6.2
Antonio Blakeney,3500,CHI,SG,@ TOR,,26.00,22.18,17,219,800,102.5,102.5,33.93,10.81,21.45,6.13
Dario Saric,4100,MIN,PF,LAC,,27.00,30.90,18,230,130,113.5,-0.5,36.55,10.66,24.11,5.88
Dwayne Bacon,3900,CHA,SF,SAS,,31.00,20.36,4,220.5,150,108.25,-0.25,45.14,7.80,22.66,5.81
Lance Stephenson,3900,LAL,SF,WAS,,25.00,25.11,17,236.5,-133,119.25,1.5,43.81,4.46,22.32,5.72
Thomas Bryant ,6000,WAS,C,@ LAL,,32.00,32.32,17,236.5,115,117.25,1.5,68.17,3.99,34.1,5.68
Dion Waiters,4200,MIA,SG,ORL,,30.00,23.62,6,205,-167,104.25,-0.75,35.28,9.87,23.55,5.61
Wayne Selden,3600,CHI,SG,@ TOR,,27.00,35.81,5,219,800,102.5,102.5,37.09,5.39,19.52,5.42
Rajon Rondo,6600,LAL,PG,WAS,,34.00,22.82,24,236.5,-133,119.25,1.5,52.94,11.05,35.65,5.4
Marcus Morris,5500,BOS,PF,@ CLE,,31.00,26.09,20,216.5,-225,111,111,50.34,10.90,29.61,5.38
Darius Miller,3500,NOP,SF,ATL,,27.00,31.53,30,242,120,119.75,-0.75,37.46,5.21,18.74,5.35
Lou Williams,7400,LAC,SG,@ MIN,,30.00,24.54,15,230,-150,116.5,0.5,79.02,8.78,39.53,5.34
Elfrid Payton,8000,NOP,PG,ATL,,33.00,25.69,30,242,120,119.75,-0.75,67.05,20.17,42.65,5.33
Trae Young,8200,ATL,PG,@ NOP,,34.00,38.67,14,242,-138,122.25,2.75,60.62,35.03,43.3,5.28
Cheick Diallo,4300,NOP,PF,ATL,,20.00,33.28,22,242,120,119.75,-0.75,45.40,6.88,22.71,5.28
Julius Randle,8400,NOP,PF,ATL,,32.00,27.59,5,242,120,119.75,-0.75,78.54,19.32,44.1,5.25
JaVale McGee,7500,LAL,C,WAS,,32.00,32.97,20,236.5,-133,119.25,1.5,67.41,19.86,39.17,5.22
Dwyane Wade,5100,MIA,SG,ORL,,27.00,23.62,6,205,-167,104.25,-0.75,42.83,8.02,26.55,5.21
Mason Plumlee,4700,DEN,C,DET,,23.00,32.45,18,212.5,-300,110,0.75,48.78,6.98,24.4,5.19
Kyle Kuzma,6500,LAL,PF,WAS,,34.00,29.85,12,236.5,-133,119.25,1.5,50.64,17.54,33.67,5.18
Karl-Anthony Towns,11800,MIN,C,LAC,,35.00,34.35,28,230,130,113.5,-0.5,95.72,32.19,60.97,5.17
Kelly Olynyk,5100,MIA,PF,ORL,,30.00,25.60,2,205,-167,104.25,-0.75,42.00,8.92,26.17,5.13
Gordon Hayward,5400,BOS,SF,@ CLE,,28.00,29.65,11,216.5,-225,111,111,55.17,9.74,27.6,5.11
Terry Rozier,6500,BOS,PG,@ CLE,,33.00,24.51,14,216.5,-225,111,111,53.47,12.32,33.11,5.09
Marcus Smart,5100,BOS,SG,@ CLE,,30.00,41.70,26,216.5,-225,111,111,42.38,10.95,25.95,5.09
Ersan Ilyasova,3900,MIL,PF,HOU,,24.00,29.96,15,224,-150,113.5,-2,36.19,3.77,19.72,5.06
Jaylen Brown,5300,BOS,SG,@ CLE,,28.00,26.09,20,216.5,-225,111,111,53.57,6.08,26.8,5.06
Derrick White,5700,SAS,PG,@ CHA,,28.00,20.02,12,220.5,-175,112.25,0.75,51.36,9.11,28.66,5.03
John Collins,7900,ATL,PF,@ NOP,,30.00,32.67,21,242,-138,122.25,2.75,73.12,15.82,39.74,5.03
Alex Len,4300,ATL,C,@ NOP,,20.00,33.18,21,242,-138,122.25,2.75,41.00,8.99,21.6,5.02
Kevin Huerter,4300,ATL,SG,@ NOP,,27.00,21.20,12,242,-138,122.25,2.75,30.18,17.44,21.56,5.01
Taurean Prince,4900,ATL,SF,@ NOP,,30.00,24.87,11,242,-138,122.25,2.75,44.69,7.69,24.49,5
Paul Millsap,6800,DEN,PF,DET,,32.00,27.40,3,212.5,-300,110,0.75,55.26,13.91,33.84,4.98
Gorgui Dieng,3500,MIN,C,LAC,,15.00,36.94,29,230,130,113.5,-0.5,30.83,4.66,17.39,4.97
Maxi Kleber,5000,DAL,PF,SAC,,27.00,33.16,25,226,110,112,112,49.44,5.71,24.73,4.95
Will Barton,5400,DEN,SF,DET,,30.00,23.95,7,212.5,-300,110,0.75,46.08,10.36,26.7,4.94
Josh Richardson,6300,MIA,SF,ORL,,38.00,23.62,6,205,-167,104.25,-0.75,49.25,12.97,31.11,4.94
Patrick Beverley,5800,LAC,PG,@ MIN,,33.00,19.28,7,230,-150,116.5,0.5,50.86,10.74,28.64,4.94
Rudy Gay,5500,SAS,SF,@ CHA,,26.00,30.68,17,220.5,-175,112.25,0.75,49.76,6.61,27.09,4.93
Bogdan Bogdanovic,4500,SAC,SG,@ DAL,,24.00,26.02,19,226,-125,114,114,43.47,7.10,22.11,4.91
