Name,Salaries,Team,Position,Opponent,Projected Minues,,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K
Kevon Looney,3500,GSW,C,@ MIA,,26.00,27.86,2,224.5,-500,117,0.5,44.48,8.36,23.41,6.69
Rajon Rondo,4300,LAL,PG,NOP,,28.00,25.08,29,239.5,-250,122.5,0.5,57.33,8.60,28.68,6.67
Bam Adebayo,4800,MIA,PF,GSW,,30.00,32.57,18,224.5,400,107.5, ,50.33,8.44,29.94,6.24
Derrick Jones,3500,MIA,SF,GSW,,25.00,21.63,20,224.5,400,107.5, ,41.22,6.35,20.62,5.89
Justin Holiday,3700,MEM,SG,CHI,,30.00,19.93,9,216,-150,109.5,1.25,38.37,12.11,21.75,5.88
Kyle O'Quinn,3900,IND,C,@ DAL,,18.00,30.25,12,214.5,-114,107.75,-0.75,45.28,4.53,22.65,5.81
Tyus Jones,5300,MIN,PG,@ ATL,,31.00,23.57,24,236.5,-188,120.75,0.75,51.77,7.22,29.72,5.61
Marco Belinelli,3700,SAS,SG,DET,,25.00,23.88,27,220,-188,112.25,-0.25,34.10,5.99,20.52,5.55
Dirk Nowitzki,3700,DAL,PF,IND,,23.00,31.24,16,214.5,-100,106.75,-0.25,36.35,7.29,20.04,5.42
Reggie Jackson,5500,DET,PG,@ SAS,,30.00,39.23,19,220,163,107.75,0.25,45.18,15.84,29.78,5.41
Jakob Poeltl,3700,SAS,C,DET,,19.00,32.52,17,220,-188,112.25,-0.25,39.02,4.06,19.52,5.28
Bryn Forbes,3900,SAS,PG,DET,,29.00,38.34,15,220,-188,112.25,-0.25,32.48,5.38,20.53,5.26
Derrick Rose,5800,MIN,PG,@ ATL,,27.00,43.11,28,236.5,-188,120.75,0.75,60.87,7.95,30.45,5.25
D'Angelo Russell,9100,BKN,SG,WAS,,33.00,40.05,22,237.5,-214,121.25,0.5,75.01,23.13,47.78,5.25
Goran Dragic,4100,MIA,PG,GSW,,23.00,18.49,5,224.5,400,107.5, ,35.92,4.41,21.43,5.23
Darren Collison,6800,IND,PG,@ DAL,,32.00,19.82,13,214.5,-114,107.75,-0.75,57.92,16.09,35.51,5.22
Kyle Kuzma,6700,LAL,PF,NOP,,34.00,35.58,27,239.5,-250,122.5,0.5,52.52,18.19,34.92,5.21
Jarrett Allen,6100,BKN,C,WAS,,28.00,32.63,19,237.5,-214,121.25,0.5,63.29,13.68,31.66,5.19
Wayne Ellington,4100,DET,SG,@ SAS,,28.00,27.88,26,220,163,107.75,0.25,39.24,6.89,21.28,5.19
Buddy Hield,6900,SAC,SG,MIL,,33.00,20.11,12,235.5,230,114.5,114.5,62.00,14.75,35.55,5.15
Marcus Morris,5000,BOS,PF,POR,,30.00,19.65,1,226,-138,114.25,0.5,43.60,8.91,25.69,5.14
