Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2018-11-16,Derrick Rose,7200,MIN,PG,POR,,32.0,43.29,4,225.0,-118,113.25,2.75,59.28,28.47,32.06,4.45,W,34,7,13,0.5379999999999999,0,1,0.0,3,4,0.75,0,7,7,6,0,0,2,0,17,11,32.4,1.0,1.0
2018-11-16,Spencer Dinwiddie,6000,BKN,PG,@ WAS,,30.0,54.91,28,224.5,210,109.0,1.25,53.96,20.98,29.93,4.99,W,31,8,13,0.615,3,5,0.6,6,9,0.667,2,2,4,8,3,0,1,4,25,7,49.8,1.0,1.0
2018-11-16,Khris Middleton,7500,MIL,SG,CHI,,34.0,37.53,2,225.0,-1200,119.75,0.75,70.73,26.59,37.09,4.95,W,33,9,15,0.6,2,6,0.333,3,3,1.0,0,10,10,8,2,0,2,3,23,18,51.0,2.0,1.0
2018-11-16,Tim Hardaway Jr.,7000,NYK,SG,@ NOP,,33.0,49.8,25,227.5,500,108.25,-0.5,65.4,24.27,35.74,5.11,L,38,9,23,0.391,4,12,0.333,8,10,0.8,2,6,8,2,2,0,3,2,30,-5,45.6,2.0,1.0
2018-11-16,DeMarre Carroll,4000,BKN,SF,@ WAS,,26.0,36.88,17,224.5,210,109.0,1.25,44.26,17.87,22.42,5.61,W,24,3,10,0.3,1,5,0.2,4,4,1.0,1,5,6,2,0,0,1,0,11,7,20.2,3.0,1.0
2018-11-16,Nemanja Bjelica,5200,SAC,SF,@ MEM,,28.0,44.23,10,212.5,210,103.25, ,48.73,16.47,24.99,4.81,L,28,2,7,0.28600000000000003,2,5,0.4,2,2,1.0,1,5,6,3,1,0,1,3,8,-11,21.7,3.0,1.0
2018-11-16,Domantas Sabonis,6700,IND,PF,MIA,,29.0,53.44,15,214.0,-214,109.75,1.75,58.29,26.11,33.48,5.0,W,25,7,10,0.7,0,0,,1,1,1.0,0,12,12,3,0,0,3,4,15,21,30.9,4.0,1.0
2018-11-16,Anthony Davis,12800,NOP,PF,NYK,,38.0,53.25,10,227.5,-667,119.25, ,103.49,31.66,60.66,4.74,W,40,16,25,0.64,1,4,0.25,10,15,0.667,4,13,17,5,1,1,2,2,43,10,74.9,4.0,1.0
2018-11-16,Robin Lopez,3500,CHI,C,@ MIL,,18.0,51.37,11,225.0,800,105.25,-0.25,34.54,17.28,17.28,4.94,L,20,2,5,0.4,0,0,,1,2,0.5,1,0,1,1,0,1,1,1,5,-1,9.7,5.0,1.0
