Player Name,Salary,Team,Position,Ceiling,Floor,Projection
Mike Conley,8300,MEM,PG,70.15008,22.58256,40.04
Spencer Dinwiddie,6000,BKN,PG,53.96379,20.980929999999997,29.93
Khris Middleton,7500,MIL,SG,70.73063,26.593529999999998,37.09
Garrett Temple,4600,MEM,SG,46.9875,18.0432,25.06
Nemanja Bjelica,5200,SAC,SF,48.7305,16.468410000000002,24.99
Justise Winslow,5100,MIA,SF,47.0448,15.18912,25.92
Anthony Davis,12800,NOP,PF,103.48595999999999,31.66452,60.66
Domantas Sabonis,6700,IND,PF,58.28868000000001,26.1144,33.48
Mike Muscala,3600,PHI,C,37.40129,18.71,18.71
