entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
30742-15755,PF,Anthony,30742-9475,30742-12474,30742-15846,30742-20640,30742-23572,30742-15755,30742-58462,,,,
30742-9644,SG,James,30742-66108,30742-12474,30742-15595,30742-15846,30742-14522,30742-15755,30742-40769,,,,
30742-9642,PG,Russell,30742-66108,30742-9475,30742-15595,30742-15846,30742-23572,30742-15755,30742-40769,,,,
30742-9646,SF,Kevin,30742-9475,30742-12474,30742-15595,30742-15846,30742-23572,30742-15755,30742-66236,30742-14503,,,,
30742-14513,SF,Kawhi,30742-9475,30742-12474,30742-15595,30742-20640,30742-23572,30742-15755,30742-55059,,,,
30742-15557,C,Andre,30742-66108,30742-12474,30742-15595,30742-15846,30742-14522,30742-15755,30742-40769,,,,
30742-9524,PG,Stephen,30742-9475,30742-12474,30742-15846,30742-14510,30742-14522,30742-23572,30742-15755,30742-9962,30742-55059,,,,
30742-12332,PG,John,30742-9475,30742-12474,30742-15595,30742-15846,30742-23572,30742-15755,30742-66236,30742-14503,,,,
30742-58462,C,Karl-Anthony,30742-66108,30742-12474,30742-15595,30742-15846,30742-14522,30742-23572,30742-66236,30742-9962,30742-58462,,,,
30742-9560,PF,Blake,30742-9475,30742-12474,30742-15595,30742-15846,30742-23572,30742-15755,30742-66236,30742-14503,,,,
