Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2019-02-27,Trae Young,8400,ATL,PG,MIN,,34.0,37.76,13,236.5,163,115.75,-0.25,59.71,33.78,42.65,5.08,W,43,9,22,0.409,2,5,0.4,16,17,0.941,1,7,8,10,0,0,3,2,36,21,57.6,1.0,1.0
2019-02-27,Jalen Brunson,3700,DAL,PG,IND,,23.0,19.48,12,214.5,-100,106.75,-0.25,24.12,13.03,17.23,4.66,W,34,9,14,0.643,3,6,0.5,3,5,0.6,0,3,3,5,3,0,2,2,24,17,42.1,1.0,1.0
2019-02-27,Kevin Huerter,4100,ATL,SG,MIN,,26.0,26.34,29,236.5,163,115.75,-0.25,28.03,15.86,20.02,4.88,W,30,2,9,0.222,2,5,0.4,0,0,,1,5,6,3,1,0,1,1,6,23,19.7,2.0,1.0
2019-02-27,James Harden,12000,HOU,SG,@ CHA,,37.0,35.48,5,227.5,-250,116.5,0.5,74.66,36.48,53.33,4.44,W,36,10,29,0.345,1,11,0.091,9,9,1.0,0,3,3,7,2,1,1,2,30,-14,52.1,2.0,1.0
2019-02-27,Miles Bridges,4200,CHA,SF,HOU,,27.0,31.66,20,227.5,210,111.0,-0.5,27.87,15.77,19.91,4.74,L,23,3,7,0.429,1,3,0.333,2,2,1.0,1,5,6,1,0,1,0,3,9,-15,20.7,3.0,1.0
2019-02-27,Kenrich Williams,5800,NOP,SF,@ LAL,,31.0,26.05,20,239.5,210,117.0,0.5,34.44,19.9,24.6,4.24,L,24,1,6,0.16699999999999998,0,3,0.0,0,0,,1,2,3,0,2,0,0,4,2,4,11.6,3.0,1.0
2019-02-27,Marvin Williams,5400,CHA,PF,HOU,,27.0,31.66,20,227.5,210,111.0,-0.5,36.17,18.86,25.42,4.71,L,33,5,10,0.5,2,5,0.4,0,2,0.0,1,5,6,3,0,0,0,1,12,10,23.7,4.0,1.0
2019-02-27,Kyle Kuzma,6700,LAL,PF,NOP,,34.0,35.58,27,239.5,-250,122.5,0.5,52.52,18.19,34.92,5.21,W,34,9,15,0.6,0,3,0.0,4,6,0.667,1,4,5,2,0,1,1,3,22,5,33.0,4.0,1.0
2019-02-27,Rudy Gobert,9700,UTA,C,LAC,,34.0,35.5,30,227.0,-500,118.25, ,75.39,24.94,46.71,4.82,W,34,6,9,0.667,0,0,,8,10,0.8,4,9,13,2,0,4,2,5,20,9,48.6,5.0,1.0
