"De'Anthony Melton",4100,PHO,PG,WAS,21.5464,6.7712,18.4
"Tyrone Wallace",3500,LAC,SG,DEN,13.05726,8.09,8.09
"Boban Marjanovic",3500,LAC,C,DEN,12.94176,6.63,6.63
"Kelly Oubre",4800,PHO,SF,WAS,42.5407,20.11462,24.59
"Josh Jackson",5300,PHO,PF,WAS,39.03075,17.50221,27.39
"Trevor Ariza",6000,WAS,SF,PHO,38.53248,14.7864,29.28
"Jeff Green",5200,WAS,SF,PHO,36.02841,19.22023,25.39
"Thomas Bryant ",4600,WAS,C,PHO,24.55875,11.60825,14.75
"Bradley Beal",8600,WAS,SG,PHO,61.41993,27.43611,40.17
"John Wall",10000,WAS,PG,PHO,54.6548,19.51255,49.15
"Richaun Holmes",4700,PHO,PF,WAS,33.41745,14.64795,19.35
"Jamal Crawford",4200,PHO,SG,WAS,23.18492,13.34,13.34
"Mike Scott",3500,LAC,PF,DEN,16.91154,9.99126,8.46
"Patrick Beverley",5200,LAC,PG,DEN,35.02474,19.34,19.34
"Monte Morris",5700,DEN,SG,LAC,36.1827,19.5615,24.3
"Trey Lyles",4900,DEN,PF,LAC,39.70575,21.63018,25.21
"Malik Beasley",4100,DEN,SG,LAC,26.71958,15.13,15.13
"Nikola Jokic",10600,DEN,C,LAC,67.4784,20.448,51.12
"Mason Plumlee",6300,DEN,C,LAC,47.30509,23.23642,33.29
"Torrey Craig",4200,DEN,SG,LAC,27.01815,11.76876,19.23
"Juan Hernangomez",5400,DEN,SF,LAC,43.51158,16.93396,25.58
"Nick Young",3500,DEN,SG,LAC,13.13816,8.12,8.12
"Shai Gilgeous-Alexander",5600,LAC,PG,DEN,26.99688,7.3284,23.64
"Montrezl Harrell",6800,LAC,PF,DEN,46.20768,23.80488,30.48
"Lou Williams",5200,LAC,SG,DEN,40.74834,16.84918,27.22
"Marcin Gortat",3600,LAC,C,DEN,19.5088,8.2063,13.7
"Danilo Gallinari",7000,LAC,SF,DEN,47.2227,18.8823,33.9
"Avery Bradley",4200,LAC,SG,DEN,25.37112,11.14319,17.33
"Tobias Harris",8100,LAC,PF,DEN,45.6852,18.62018,34.61
"Markieff Morris",5000,WAS,PF,PHO,37.94336,18.5026,26.06
"Tomas Satoransky ",4500,WAS,PG,PHO,36.83716,18.12208,23.72
"Kyle Lowry",8400,TOR,PG,PHI,53.136,26.568,33.21
"Danny Green",4500,TOR,SG,PHI,30.88404,15.1371,21.78
"Eric Bledsoe",7100,MIL,PG,MIA,49.7422,21.43003,34.07
"Chris Boucher",3600,TOR,PF,PHI,6.61194,1.2099,6.54
"Malachi Richardson",3500,TOR,SG,PHI,5.07746,2.54,2.54
"Amir Johnson",3500,PHI,PF,TOR,14.21269,6.9839,9.07
"Lorenzo Brown",3500,TOR,PG,PHI,5.61816,3.06,3.06
"Malcolm Brogdon",5500,MIL,SG,MIA,33.40474,16.42361,23.23
"Khris Middleton",7000,MIL,SG,MIA,51.38066,22.15974,32.54
"Sterling Brown",3800,MIL,SG,MIA,32.13675,17.25,17.25
"Thon Maker",3500,MIL,C,MIA,14.3736,6.91968,8.48
"D.J. Wilson",3900,MIL,PF,MIA,30.52368,15.84,15.84
"George Hill",3800,MIL,PG,MIA,24.5092,12.1836,14.2
"Tony Snell",4000,MIL,SG,MIA,18.66195,9.40254,11.01
"Giannis Antetokounmpo",11800,MIL,SF,MIA,64.24824,21.26952,54.96
"Brook Lopez",4900,MIL,C,MIA,36.14514,16.42736,24.74
"Landry Shamet",3600,PHI,PG,TOR,13.4183,2.39282,13.22
"Furkan Korkmaz",3600,PHI,SG,TOR,24.94258,12.61,12.61
"Delon Wright",3900,TOR,SG,PHI,36.80456,17.84328,22.36
"OG Anunoby",3700,TOR,SF,PHI,32.67005,17.35,17.35
"Norman Powell",3500,TOR,SF,PHI,27.6968,12.16792,15.56
"Pascal Siakam",7200,TOR,PF,PHI,49.70236,19.09564,33.56
"Fred VanVleet",5800,TOR,PG,PHI,35.88482,15.70946,26.27
"Sam Dekker",4400,WAS,SF,PHO,27.12094,13.48042,16.01
"Chasson Randle",3500,WAS,SG,PHO,22.165,11.1925,13.75
"C.J. Miles",3500,TOR,SF,PHI,20.51988,9.95908,12.28
"Greg Monroe",4600,TOR,C,PHI,28.126,12.73706,20.09
"Joel Embiid",10500,PHI,C,TOR,63.07944,22.03104,51.96
"T.J. McConnell",3800,PHI,PG,TOR,30.99434,16.0381,18.98
"Mike Muscala",4200,PHI,C,TOR,35.08284,17.91036,22.36
"Jimmy Butler",7600,PHI,SG,TOR,49.39069,19.2337,36.29
"Ben Simmons",9300,PHI,PG,TOR,54.28552,17.73438,41.63
"J.J. Redick",5600,PHI,SG,TOR,36.68236,17.7762,27.56
"Jamal Murray",7800,DEN,PG,LAC,55.16878,22.73322,35.41
