PG,PG,SG,SG,SF,SF,PF,PF,C
31306-9524,31306-58460,31306-15595,31306-16233,31306-58153,31306-80809
31306-12355,31306-58460,31306-15595,31306-9646,31306-58153,31306-9688,31306-58378
31306-9524,31306-58460,31306-15595,31306-58153,31306-68090,31306-9688,31306-58378
31306-9524,31306-15595,31306-40830,31306-9646,31306-58153,31306-9688
31306-9524,31306-12355,31306-58460,31306-40830,31306-9646,31306-58153,31306-14511
31306-9524,31306-58460,31306-15595,31306-58153,31306-60021
31306-9524,31306-58460,31306-15595,31306-9646,31306-14511,31306-58378
31306-9524,31306-58460,31306-15595,31306-58153,31306-60021
31306-9524,31306-58460,31306-15595,31306-58153,31306-9849,31306-9688,31306-80809,31306-58378
31306-9524,31306-58460,31306-15595,31306-58153,31306-68090,31306-9688,31306-58378
