,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15
130,31306-58457,SF,Devin,Devin Robinson,Robinson,13.850000381469727,2,3500,PHO@WAS,WAS,PHO,,,,,
131,31306-15964,PG,Lorenzo,Lorenzo Brown,Brown,7.176190330868676,21,3500,TOR@PHI,TOR,PHI,,,,,
132,31306-23155,SG,Naz,Naz Mitrou-Long,Mitrou-Long,0.0,1,3500,OKC@UTA,UTA,OKC,,,,,
133,31306-85106,SG,Deonte,Deonte Burton,Burton,6.179999796549478,15,3500,OKC@UTA,OKC,UTA,,,,,
134,31306-23156,PF,Georges,Georges Niang,Niang,6.26818154074929,22,3500,OKC@UTA,UTA,OKC,,,,,
135,31306-9849,SF,Gerald,Gerald Green,Green,11.762963189019096,27,3500,SA@HOU,HOU,SA,,,,,
136,31306-67707,PF,Marquese,Marquese Chriss,Chriss,4.070000076293947,10,3500,SA@HOU,HOU,SA,,,,,
137,31306-67708,PG,Dejounte,Dejounte Murray,Murray,22.23827220775463,81,3500,SA@HOU,SA,HOU,O,Knee,,,
138,31306-66174,PG,Jawun,Jawun Evans,Evans,7.5,4,3500,PHO@WAS,PHO,WAS,,,,,
139,31306-9862,PF,Amir,Amir Johnson,Johnson,9.196666463216145,30,3500,TOR@PHI,PHI,TOR,,,,,
140,31306-85137,SG,Duncan,Duncan Robinson,Robinson,3.75,4,3500,MIL@MIA,MIA,MIL,,,,,
141,31306-66203,SG,Malachi,Malachi Richardson,Richardson,1.847058801090016,17,3500,TOR@PHI,TOR,PHI,,,,,
142,31306-70819,PF,Dragan,Dragan Bender,Bender,3.863636363636364,11,3500,PHO@WAS,PHO,WAS,,,,,
143,31306-70820,C,Thon,Thon Maker,Maker,11.595652704653533,23,3500,MIL@MIA,MIL,MIA,,,,,
144,31306-70825,SG,Timothe,Timothe Luwawu-Cabarrot,Luwawu-Cabarrot,4.200000089757583,17,3500,OKC@UTA,OKC,UTA,,,,,
145,31306-15548,SG,Andre,Andre Roberson,Roberson,17.820512820512818,39,3500,OKC@UTA,OKC,UTA,O,Kneecap,,,
146,31306-84668,SF,Troy,Troy Brown Jr.,Brown Jr.,6.335714067731585,14,3500,PHO@WAS,WAS,PHO,,,,,
147,31306-16063,PF,Eric,Eric Moreland,Moreland,11.904477247551306,67,3500,PHO@WAS,PHO,WAS,,,,,
148,31306-84672,SG,Zhaire,Zhaire Smith,Smith,0.0,0,3500,TOR@PHI,PHI,TOR,O,Foot,,,
149,31306-22727,SG,Ron,Ron Baker,Baker,4.900000138716265,11,3500,PHO@WAS,WAS,PHO,,,,,
150,31306-84681,SG,Donte,Donte DiVincenzo,DiVincenzo,11.914285568963914,21,3500,MIL@MIA,MIL,MIA,,,,,
151,31306-58574,PF,Jonah,Jonah Bolden,Bolden,4.933333502875434,9,3500,TOR@PHI,PHI,TOR,,,,,
152,31306-84687,SF,George,George King,King,1.2000000476837158,1,3500,PHO@WAS,PHO,WAS,,,,,
153,31306-84691,SG,Shake,Shake Milton,Milton,6.028571537562778,7,3500,TOR@PHI,PHI,TOR,,,,,
154,31306-9940,SF,Dante,Dante Cunningham,Cunningham,13.931249618530273,32,3500,SA@HOU,SA,HOU,,,,,
155,31306-84697,SG,Jacob,Jacob Evans,Evans,1.8894737645199424,19,3500,DAL@GS,GS,DAL,,,,,
156,31306-42202,PF,Christian,Christian Wood,Wood,7.53333346048991,6,3500,MIL@MIA,MIL,MIA,,,,,
157,31306-84699,SG,Hamidou,Hamidou Diallo,Diallo,11.150000254313149,24,3500,OKC@UTA,OKC,UTA,,,,,
158,31306-84701,PF,Chimezie,Chimezie Metu,Metu,5.705555386013455,18,3500,SA@HOU,SA,HOU,,,,,
159,31306-15582,PG,Quinn,Quinn Cook,Cook,14.165516820447197,29,3500,DAL@GS,GS,DAL,,,,,
160,31306-9953,C,Ian,Ian Mahinmi,Mahinmi,10.050000190734863,16,3500,PHO@WAS,WAS,PHO,,,,,
161,31306-84711,SG,Grayson,Grayson Allen,Allen,4.617647058823528,17,3500,OKC@UTA,UTA,OKC,,,,,
162,31306-84712,SF,Vincent,Vincent Edwards,Edwards,4.199999809265137,1,3500,SA@HOU,HOU,SA,,,,,
163,31306-9968,SG,Jodie,Jodie Meeks,Meeks,10.457143015675731,77,3500,MIL@MIA,MIL,MIA,,,,,
164,31306-84725,PF,Kostas,Kostas Antetokounmpo,Antetokounmpo,0.0,0,3500,DAL@GS,DAL,GS,,,,,
165,31306-84726,PF,Ray,Ray Spalding,Spalding,0.0,1,3500,DAL@GS,DAL,GS,,,,,
166,31306-9465,PG,Raymond,Raymond Felton,Felton,10.884615384615383,13,3500,OKC@UTA,OKC,UTA,,,,,
167,31306-23294,SF,Danuel,Danuel House,House,13.00769277719351,13,3500,SA@HOU,HOU,SA,,,,,
168,31306-19726,SF,Abdel,Abdel Nader,Nader,2.578571319580078,14,3500,OKC@UTA,OKC,UTA,,,,,
169,31306-40206,SG,Alex,Alex Abrines,Abrines,10.444444444444443,27,3500,OKC@UTA,OKC,UTA,,,,,
170,31306-55055,PG,Dante,Dante Exum,Exum,12.21875,32,3500,OKC@UTA,UTA,OKC,,,,,
171,31306-9508,SF,Carmelo,Carmelo Anthony,Anthony,23.13000030517578,10,3500,SA@HOU,HOU,SA,,,,,
172,31306-9512,C,,Nene,Nene,11.944444444444445,9,3500,SA@HOU,HOU,SA,,,,,
173,31306-41269,PG,Demetrius,Demetrius Jackson,Jackson,4.349999904632568,2,3500,TOR@PHI,PHI,TOR,,,,,
174,31306-85309,PG,Daryl,Daryl Macon,Macon,0.0,1,3500,DAL@GS,DAL,GS,,,,,
175,31306-85308,PG,Trevon,Trevon Duval,Duval,0.0,0,3500,MIL@MIA,MIL,MIA,,,,,
176,31306-16197,SG,Chasson,Chasson Randle,Randle,12.350000381469727,2,3500,PHO@WAS,WAS,PHO,,,,,
177,31306-20805,SG,Troy,Troy Daniels,Daniels,10.342857360839844,14,3500,PHO@WAS,PHO,WAS,,,,,
178,31306-40264,SF,Ben,Ben Moore,Moore,1.350000023841858,2,3500,SA@HOU,SA,HOU,,,,,
179,31306-82761,SG,Jaylen,Jaylen Morris,Morris,6.75,4,3500,MIL@MIA,MIL,MIA,,,,,
180,31306-84833,PF,Ryan,Ryan Broekhoff,Broekhoff,3.073333231608073,15,3500,DAL@GS,DAL,GS,GTD,Illness,,,
181,31306-16230,SG,Jordan,Jordan McRae,McRae,3.1666666666666665,6,3500,PHO@WAS,WAS,PHO,,,,,
182,31306-9589,PF,Udonis,Udonis Haslem,Haslem,2.6666666666666665,3,3500,MIL@MIA,MIA,MIL,,,,,
183,31306-66424,C,Justin,Justin Patton,Patton,5.0,1,3500,TOR@PHI,PHI,TOR,O,Foot,,,
184,31306-18338,SF,Royce,Royce O'Neale,O'Neale,10.900000369910037,33,3500,OKC@UTA,UTA,OKC,,,,,
185,31306-80805,SG,Markelle,Markelle Fultz,Fultz,19.394736842105264,19,3500,TOR@PHI,PHI,TOR,O,Shoulder,,,
186,31306-16293,SF,Norman,Norman Powell,Powell,9.938461303710938,13,3500,TOR@PHI,TOR,PHI,,,,,
187,31306-9647,SF,Thabo,Thabo Sefolosha,Sefolosha,7.810525994551809,19,3500,OKC@UTA,UTA,OKC,,,,,
188,31306-80820,SG,Terrance,Terrance Ferguson,Ferguson,9.270833333333334,24,3500,OKC@UTA,OKC,UTA,,,,,
189,31306-80823,C,Tony,Tony Bradley,Bradley,2.5222223069932728,9,3500,OKC@UTA,UTA,OKC,,,,,
190,31306-80825,PF,Isaiah,Isaiah Hartenstein,Hartenstein,6.0227272727272725,22,3500,SA@HOU,HOU,SA,,,,,
191,31306-9669,PF,Jason,Jason Smith,Smith,9.323076688326324,13,3500,MIL@MIA,MIL,MIA,,,,,
192,31306-18376,SG,Damion,Damion Lee,Lee,8.553333536783855,15,3500,DAL@GS,GS,DAL,,,,,
193,31306-101331,SF,Gary,Gary Clark,Clark,10.891304347826088,23,3500,SA@HOU,HOU,SA,,,,,
194,31306-85467,PF,Yante,Yante Maten,Maten,0.0,0,3500,MIL@MIA,MIA,MIL,,,,,
195,31306-97263,PF,Drew,Drew Eubanks,Eubanks,4.871428353445871,7,3500,SA@HOU,SA,HOU,,,,,
196,31306-9725,SF,CJ,CJ Miles,Miles,9.142857142857142,28,3500,TOR@PHI,TOR,PHI,,,,,
