PG,PG,SG,SG,SF,SF,PF,PF,C
30283-9535,30283-9466,30283-15595,30283-58312,30283-16233,30283-58084,30283-23776,30283-12342,30283-14503
30283-9535,30283-15542,30283-15595,30283-15744,30283-16233,30283-58084,30283-23776,30283-12342,30283-14516
30283-15542,30283-9466,30283-15595,30283-58312,30283-16233,30283-58084,30283-23776,30283-9957,30283-14516
30283-9535,30283-9466,30283-15595,30283-15846,30283-16233,30283-58084,30283-23776,30283-12342,30283-14503
30283-9535,30283-9466,30283-58312,30283-15744,30283-16233,30283-58084,30283-14518,30283-23776,30283-14516
30283-9535,30283-15542,30283-15595,30283-58312,30283-58153,30283-58084,30283-23776,30283-12342,30283-14516
30283-9535,30283-15542,30283-15595,30283-58312,30283-16233,30283-63123,30283-23776,30283-12342,30283-14503
30283-9535,30283-15542,30283-15595,30283-58312,30283-16233,30283-58084,30283-23776,30283-42661,30283-14503
30283-9535,30283-9466,30283-15595,30283-58312,30283-16233,30283-58084,30283-14518,30283-12342,30283-14503
30283-9535,30283-15542,30283-15595,30283-15744,30283-16233,30283-58084,30283-23776,30283-12342,30283-14516
