entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
30831-9644,SG,James,,,,
30831-20848,PG,Damian,,,,
30831-40203,C,Rudy,,,,
30831-55059,C,Clint,,,,
30831-14498,PG,Kyrie,,,,
30831-55057,C,Jusuf,,,,
30831-66113,SG,Donovan,,,,
30831-58460,SG,Devin,Hamstring,,,
30831-9623,PG,Chris,,,,
30831-15846,SG,Tim,,,,
