"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"29725-14496","PG","Ricky","Ricky Rubio","Rubio","26.61111111111111","9","6300","TOR@UTA","UTA","TOR","","","","",""
"29725-42669","C","Julius","Julius Randle","Randle","30.988888210720486","9","6300","NO@OKC","NO","OKC","","","","",""
"29725-63126","SF","Cedi","Cedi Osman","Osman","23.755555894639755","9","6100","CLE@ORL","CLE","ORL","","","","",""
"29725-14503","C","Jonas","Jonas Valanciunas","Valanciunas","28.26000061035156","10","6100","TOR@UTA","TOR","UTA","","","","",""
"29725-80808","PF","Jayson","Jayson Tatum","Tatum","29.811109754774307","9","6100","BOS@DEN","BOS","DEN","","","","",""
"29725-59318","SF","Joe","Joe Ingles","Ingles","28.622222900390625","9","6100","TOR@UTA","UTA","TOR","","","","",""
"29725-9666","PF","Thaddeus","Thaddeus Young","Young","24.75","10","6100","HOU@IND","IND","HOU","GTD","Illness","","",""
"29725-23096","SG","Evan","Evan Fournier","Fournier","26.677778455946182","9","6000","CLE@ORL","ORL","CLE","","","","",""
"29725-9475","PG","Derrick","Derrick Rose","Rose","29.266665988498264","9","6000","MIN@LAC","MIN","LAC","GTD","Ankle","","",""
"29725-59358","PF","Domantas","Domantas Sabonis","Sabonis","29.47777642144097","9","6000","HOU@IND","IND","HOU","","","","",""
"29725-14523","PG","Reggie","Reggie Jackson","Jackson","23.487499237060547","8","5800","MIA@DET","DET","MIA","","","","",""
"29725-58253","C","Myles","Myles Turner","Turner","27.289999389648436","10","5800","HOU@IND","IND","HOU","","","","",""
"29725-9662","SG","Lou","Lou Williams","Williams","25.666666666666668","9","5800","MIN@LAC","LAC","MIN","","","","",""
"29725-42661","PF","Noah","Noah Vonleh","Vonleh","21.95","10","5700","CHI@NY","NY","CHI","","","","",""
"29725-23776","PF","Montrezl","Montrezl Harrell","Harrell","27.566667344835068","9","5700","MIN@LAC","LAC","MIN","","","","",""
"29725-9966","PF","James","James Johnson","Johnson","25.446575008026542","73","5700","MIA@DET","MIA","DET","O","Abdomen","","",""
"29725-23676","SG","Damyean","Damyean Dotson","Dotson","23.975000381469727","8","5600","CHI@NY","NY","CHI","","","","",""
"29725-84689","SG","Josh","Josh Okogie","Okogie","22.125","8","5600","MIN@LAC","MIN","LAC","","","","",""
"29725-60021","PF","Pascal","Pascal Siakam","Siakam","26.979998779296874","10","5500","TOR@UTA","TOR","UTA","","","","",""
"29725-58084","SF","Justise","Justise Winslow","Winslow","28.899999618530273","4","5500","MIA@DET","MIA","DET","","","","",""
"29725-40201","SG","Dennis","Dennis Schroder","Schroder","29.049999237060547","8","5500","NO@OKC","OKC","NO","","","","",""
"29725-9508","SF","Carmelo","Carmelo Anthony","Anthony","26.100000381469727","8","5500","HOU@IND","HOU","IND","","","","",""
"29725-15744","SG","Rodney","Rodney McGruder","McGruder","29.462499618530273","8","5500","MIA@DET","MIA","DET","","","","",""
"29725-80813","PG","Frank","Frank Ntilikina","Ntilikina","19.780000305175783","10","5500","CHI@NY","NY","CHI","","","","",""
"29725-15904","SG","Rodney","Rodney Hood","Hood","22.22222222222222","9","5400","CLE@ORL","CLE","ORL","","","","",""
"29725-12366","SF","Gordon","Gordon Hayward","Hayward","22.950000762939453","8","5400","BOS@DEN","BOS","DEN","","","","",""
"29725-14512","PF","Marcus","Marcus Morris","Morris","26.455556233723957","9","5400","BOS@DEN","BOS","DEN","","","","",""
"29725-16604","SG","Justin","Justin Holiday","Holiday","24.76000061035156","10","5400","CHI@NY","CHI","NY","","","","",""
"29725-63826","C","Boban","Boban Marjanovic","Marjanovic","18.833333333333332","9","5400","MIN@LAC","LAC","MIN","","","","",""
"29725-15800","SF","Jae","Jae Crowder","Crowder","26.766665988498264","9","5400","TOR@UTA","UTA","TOR","","","","",""
"29725-20992","PF","Larry","Larry Nance Jr.","Nance Jr.","23.385713849748885","7","5300","CLE@ORL","CLE","ORL","","","","",""
"29725-84683","PF","Jaren","Jaren Jackson Jr.","Jackson Jr.","22.8125","8","5300","MEM@GS","MEM","GS","","","","",""
"29725-9585","SG","Dwyane","Dwyane Wade","Wade","23.625","8","5300","MIA@DET","MIA","DET","GTD","Head","","",""
"29725-9624","PG","Darren","Darren Collison","Collison","22.139999389648438","10","5300","HOU@IND","IND","HOU","","","","",""
"29725-9556","SG","Eric","Eric Gordon","Gordon","23.400000435965403","7","5200","HOU@IND","HOU","IND","O","Hip","","",""
"29725-9758","SG","Danny","Danny Green","Green","23.76000061035156","10","5100","TOR@UTA","TOR","UTA","","","","",""
"29725-14559","PG","Isaiah","Isaiah Thomas","Thomas","23.590625762939453","32","5100","BOS@DEN","DEN","BOS","O","Hip","","",""
"29725-58081","PG","Tyus","Tyus Jones","Jones","16.422222561306423","9","5100","MIN@LAC","MIN","LAC","","","","",""
"29725-15405","PF","JaMychal","JaMychal Green","Green","21.700000762939453","2","5000","MEM@GS","MEM","GS","O","Jaw","","",""
"29725-80811","SF","Jonathan","Jonathan Isaac","Isaac","18.825000762939453","8","5000","CLE@ORL","ORL","CLE","O","Ankle","","",""
"29725-14501","C","Tristan","Tristan Thompson","Thompson","23.055555555555557","9","4900","CLE@ORL","CLE","ORL","","","","",""
"29725-24247","PG","Fred","Fred VanVleet","VanVleet","19.916666666666668","6","4900","TOR@UTA","TOR","UTA","","","","",""
"29725-84675","C","Mo","Mo Bamba","Bamba","20.86666700575087","9","4900","CLE@ORL","ORL","CLE","","","","",""
"29725-84709","C","Mitchell","Mitchell Robinson","Robinson","16.100000381469727","8","4900","CHI@NY","NY","CHI","","","","",""
"29725-23831","PF","Jerami","Jerami Grant","Grant","24.512500762939453","8","4900","NO@OKC","OKC","NO","","","","",""
"29725-16220","SG","Dion","Dion Waiters","Waiters","23.89666748046875","30","4900","MIA@DET","MIA","DET","O","Ankle","","",""
"29725-67026","SG","Jaylen","Jaylen Brown","Brown","20.837499618530273","8","4900","BOS@DEN","BOS","DEN","","","","",""
"29725-9692","SF","Tyreke","Tyreke Evans","Evans","22.377777099609375","9","4900","HOU@IND","IND","HOU","","","","",""
"29725-22541","PF","Kelly","Kelly Olynyk","Olynyk","16.987499237060547","8","4800","MIA@DET","MIA","DET","","","","",""
"29725-23407","PF","PJ","PJ Tucker","Tucker","24.674999237060547","8","4800","HOU@IND","HOU","IND","","","","",""
"29725-16405","SG","Terrence","Terrence Ross","Ross","22.377777099609375","9","4700","CLE@ORL","ORL","CLE","","","","",""
"29725-12351","PF","Derrick","Derrick Favors","Favors","23.524999618530273","8","4700","TOR@UTA","UTA","TOR","","","","",""
"29725-84667","PG","Collin","Collin Sexton","Sexton","17.266665988498264","9","4700","CLE@ORL","CLE","ORL","","","","",""
"29725-14530","SF","Bojan","Bojan Bogdanovic","Bogdanovic","18.8","10","4700","HOU@IND","IND","HOU","","","","",""
"29725-9481","PF","Taj","Taj Gibson","Gibson","24.730000305175782","10","4700","MIN@LAC","MIN","LAC","","","","",""
"29725-58461","PF","Trey","Trey Lyles","Lyles","20.622222900390625","9","4600","BOS@DEN","DEN","BOS","","","","",""
"29725-20640","SG","Jordan","Jordan Clarkson","Clarkson","22.400000678168404","9","4600","CLE@ORL","CLE","ORL","","","","",""
"29725-14554","SF","E'Twaun","E'Twaun Moore","Moore","22.47777811686198","9","4600","NO@OKC","NO","OKC","","","","",""
"29725-58350","SF","Stanley","Stanley Johnson","Johnson","15.700000217982701","7","4600","MIA@DET","DET","MIA","","","","",""
"29725-23716","SF","Kyle","Kyle Anderson","Anderson","17.274999618530273","8","4500","MEM@GS","MEM","GS","","","","",""
"29725-12474","PG","Patrick","Patrick Beverley","Beverley","19.188888549804688","9","4500","MIN@LAC","LAC","MIN","","","","",""
"29725-14533","PG","Shelvin","Shelvin Mack","Mack","22.287500381469727","8","4500","MEM@GS","MEM","GS","","","","",""
"29725-12511","PG","Ish","Ish Smith","Smith","19.912500381469727","8","4500","MIA@DET","DET","MIA","","","","",""
"29725-9466","PG","D.J.","D.J. Augustin","Augustin","20.47777811686198","9","4500","CLE@ORL","ORL","CLE","","","","",""
"29725-11074","SG","Garrett","Garrett Temple","Temple","22.399999618530273","8","4500","MEM@GS","MEM","GS","","","","",""
"29725-48567","PG","Cameron","Cameron Payne","Payne","18.689999389648438","10","4400","CHI@NY","CHI","NY","","","","",""
"29725-9703","PG","George","George Hill","Hill","18.333333333333332","9","4400","CLE@ORL","CLE","ORL","","","","",""
"29725-15947","SG","Reggie","Reggie Bullock","Bullock","16.3000005086263","6","4300","MIA@DET","DET","MIA","GTD","Ankle","","",""
"29725-18600","PG","Tyler","Tyler Johnson","Johnson","19.287500381469727","8","4300","MIA@DET","MIA","DET","GTD","Illness","","",""
"29725-24546","SF","Denzel","Denzel Valentine","Valentine","22.709090592025163","77","4300","CHI@NY","CHI","NY","O","Ankle","","",""
"29725-15996","PG","Jerian","Jerian Grant","Grant","14.855555216471354","9","4200","CLE@ORL","ORL","CLE","","","","",""
"29725-84674","PF","Kevin","Kevin Knox","Knox","14.066666920979818","3","4200","CHI@NY","NY","CHI","GTD","Ankle","","",""
"29725-23282","SF","Sam","Sam Dekker","Dekker","16.674999237060547","8","4200","CLE@ORL","CLE","ORL","","","","",""
"29725-9506","SG","JR","JR Smith","Smith","10.5","5","4200","CLE@ORL","CLE","ORL","","","","",""
"29725-18821","SF","Jonathon","Jonathon Simmons","Simmons","15.885713849748884","7","4200","CLE@ORL","ORL","CLE","","","","",""
"29725-23670","SG","Marcus","Marcus Smart","Smart","17.011111789279514","9","4100","BOS@DEN","BOS","DEN","","","","",""
"29725-42677","PG","Terry","Terry Rozier","Rozier","19.744444105360245","9","4100","BOS@DEN","BOS","DEN","","","","",""
"29725-84680","PG","Shai","Shai Gilgeous-Alexander","Gilgeous-Alexander","18.466666327582466","9","4100","MIN@LAC","LAC","MIN","","","","",""
"29725-84682","PF","Michael","Michael Porter Jr.","Porter Jr.","0","0","4100","BOS@DEN","DEN","BOS","O","Back","","",""
"29725-16201","PG","Michael","Michael Carter-Williams","Carter-Williams","13.285714285714286","7","4100","HOU@IND","HOU","IND","","","","",""
"29725-84707","SF","Chandler","Chandler Hutchison","Hutchison","12.266666836208767","9","4000","CHI@NY","CHI","NY","","","","",""
"29725-60233","SG","Dillon","Dillon Brooks","Brooks","13.25","8","4000","MEM@GS","MEM","GS","","","","",""
"29725-70822","SF","Juancho","Juancho Hernangomez","Hernangomez","14.774999618530273","8","3900","BOS@DEN","DEN","BOS","","","","",""
"29725-9962","PF","Jonas","Jonas Jerebko","Jerebko","16.01000061035156","10","3900","MEM@GS","GS","MEM","","","","",""
"29725-82744","PG","Shaquille","Shaquille Harrison","Harrison","15.866666158040365","3","3900","CHI@NY","CHI","NY","","","","",""
"29725-84827","SG","Allonzo","Allonzo Trier","Trier","15.069999694824219","10","3900","CHI@NY","NY","CHI","","","","",""
"29725-17491","SF","James","James Ennis III","Ennis III","15.039999389648438","5","3800","HOU@IND","HOU","IND","","","","",""
"29725-9920","PF","Anthony","Anthony Tolliver","Tolliver","14.7","10","3800","MIN@LAC","MIN","LAC","","","","",""
"29725-14529","PG","Cory","Cory Joseph","Joseph","17.56999969482422","10","3800","HOU@IND","IND","HOU","","","","",""
"29725-58576","PF","Kevon","Kevon Looney","Looney","15.639999389648438","10","3800","MEM@GS","GS","MEM","","","","",""
"29725-15590","C","Mason","Mason Plumlee","Plumlee","19.455556233723957","9","3800","BOS@DEN","DEN","BOS","","","","",""
"29725-9465","PG","Raymond","Raymond Felton","Felton","16.200000762939453","2","3800","NO@OKC","OKC","NO","","","","",""
"29725-9479","SF","Luol","Luol Deng","Deng","9.5","2","3800","MIN@LAC","MIN","LAC","","","","",""
"29725-40830","PG","Delon","Delon Wright","Wright","9.6","5","3800","TOR@UTA","TOR","UTA","","","","",""
"29725-80817","C","Bam","Bam Adebayo","Adebayo","18.037500381469727","8","3800","MIA@DET","MIA","DET","","","","",""
"29725-9664","SG","Andre","Andre Iguodala","Iguodala","13.98888905843099","9","3800","MEM@GS","GS","MEM","O","Rest","","",""
"29725-40396","SG","Monte","Monte Morris","Morris","18.299999660915798","9","3800","BOS@DEN","DEN","BOS","","","","",""
"29725-101331","PF","Gary","Gary Clark","Clark","8.714285714285714","7","3800","HOU@IND","HOU","IND","","","","",""
"29725-18435","SF","Alfonzo","Alfonzo McKinnie","McKinnie","12.359999847412109","10","3700","MEM@GS","GS","MEM","","","","",""
"29725-9849","SF","Gerald","Gerald Green","Green","13.6875","8","3700","HOU@IND","HOU","IND","","","","",""
"29725-23740","PG","Ryan","Ryan Arcidiacono","Arcidiacono","18.22222222222222","9","3700","CHI@NY","CHI","NY","","","","",""
"29725-84708","C","Robert","Robert Williams III","Williams III","3.7249999046325684","4","3700","BOS@DEN","BOS","DEN","","","","",""
"29725-9512","C","","Nene","Nene","13.571154080904448","52","3700","HOU@IND","HOU","IND","O","Calf","","",""
"29725-80824","PG","Frank","Frank Jackson","Jackson","7.328571319580078","7","3700","NO@OKC","NO","OKC","","","","",""
"29725-66091","PF","Cheick","Cheick Diallo","Diallo","10.533333460489908","6","3600","NO@OKC","NO","OKC","","","","",""
"29725-12334","SG","Avery","Avery Bradley","Bradley","13.155555725097656","9","3600","MIN@LAC","LAC","MIN","","","","",""
"29725-66114","SG","Antonio","Antonio Blakeney","Blakeney","15.410000610351563","10","3600","CHI@NY","CHI","NY","","","","",""
"29725-9796","PF","Luc","Luc Mbah a Moute","Mbah a Moute","8.850000381469727","4","3600","MIN@LAC","LAC","MIN","GTD","Knee","","",""
"29725-81529","PF","Daniel","Daniel Theis","Theis","11.080000305175782","5","3600","BOS@DEN","BOS","DEN","O","Foot","","",""
"29725-81026","PG","Milos","Milos Teodosic","Teodosic","10.34000015258789","5","3600","MIN@LAC","LAC","MIN","","","","",""
"29725-9870","SG","Kyle","Kyle Korver","Korver","9.212499618530273","8","3600","CLE@ORL","CLE","ORL","","","","",""
"29725-63123","SF","Mario","Mario Hezonja","Hezonja","16.18000030517578","10","3600","CHI@NY","NY","CHI","","","","",""
"29725-63124","PG","Emmanuel","Emmanuel Mudiay","Mudiay","12.833333333333334","3","3600","CHI@NY","NY","CHI","","","","",""
"29725-42158","SG","Jabari","Jabari Bird","Bird","5.984615619365986","13","3600","BOS@DEN","BOS","DEN","O","Not injury related","","",""
"29725-84688","SF","Keita","Keita Bates-Diop","Bates-Diop","5.300000190734863","2","3600","MIN@LAC","MIN","LAC","","","","",""
"29725-15582","PG","Quinn","Quinn Cook","Cook","7.100000108991351","7","3600","MEM@GS","GS","MEM","","","","",""
"29725-9956","SG","Wayne","Wayne Ellington","Ellington","7.699999809265137","1","3600","MIA@DET","MIA","DET","","","","",""
"29725-9454","C","Zaza","Zaza Pachulia","Pachulia","16.5625","8","3600","MIA@DET","DET","MIA","","","","",""
"29725-84723","SG","Khyri","Khyri Thomas","Thomas","0","0","3600","MIA@DET","DET","MIA","","","","",""
"29725-55055","PG","Dante","Dante Exum","Exum","14.788889567057291","9","3600","TOR@UTA","UTA","TOR","GTD","Shoulder","","",""
"29725-23825","C","Nerlens","Nerlens Noel","Noel","20.987499237060547","8","3600","NO@OKC","OKC","NO","","","","",""
"29725-9615","SG","Courtney","Courtney Lee","Lee","21.826316431949014","76","3600","CHI@NY","NY","CHI","O","Neck","","",""
