Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2019-03-18,Shaquille Harrison,3500,CHI,PG,@ PHO,,26.0,22.86,24,226.0,115,112.0,-1,44.6,6.38,22.31,6.37,W,32,3,9,0.333,0,0,,0,0,,0,3,3,1,4,0,1,3,6,17,22.1,1.0,1.0
2019-03-18,Emmanuel Mudiay,4900,NYK,PG,@ TOR,,34.0,22.20,20,214.0,650,100.75,100.75,60.07,8.59,30.05,6.13,L,22,2,7,0.28600000000000003,1,3,0.333,2,2,1.0,0,0,0,3,0,0,1,1,7,-20,10.5,1.0,1.0
2019-03-18,Dennis Schroder,6000,OKC,SG,MIA,,36.0,36.98,9,210.0,-225,107.75,107.75,49.04,19.13,34.22,5.7,L,36,7,16,0.438,2,5,0.4,4,6,0.667,0,3,3,6,0,0,5,1,20,2,27.6,2.0,1.0
2019-03-18,Luka Doncic,9800,DAL,SG,NOP,,34.0,30.83,29,232.0,-188,118.25,118.25,71.61,29.72,51.15,5.22,L,39,10,26,0.385,1,7,0.14300000000000002,8,11,0.727,5,8,13,10,2,0,5,4,29,-8,60.6,2.0,1.0
2019-03-18,Derrick Jones Jr.,3500,MIA,SF,@ OKC,,27.0,24.19,27,210.0,190,102.25,102.25,45.38,6.99,22.7,6.49,W,17,4,11,0.364,0,2,0.0,0,0,,0,1,1,0,2,0,0,4,8,-9,15.2,3.0,1.0
2019-03-18,Paul George,11200,OKC,SF,MIA,,37.0,29.14,11,210.0,-225,107.75,107.75,85.36,25.08,54.06,4.83,L,39,9,18,0.5,4,11,0.364,9,9,1.0,1,8,9,5,2,2,5,1,31,0,56.3,3.0,1.0
2019-03-18,Josh Jackson,5300,PHO,PF,CHI,,30.0,22.44,2,226.0,-133,114.0,-2,62.93,9.26,31.48,5.94,L,32,6,13,0.462,2,4,0.5,4,6,0.667,0,7,7,2,1,0,4,4,18,-3,28.4,4.0,1.0
2019-03-18,Pascal Siakam,8300,TOR,PF,NYK,,36.0,33.57,25,214.0,-900,113.25,113.25,65.74,19.44,43.11,5.19,W,30,9,14,0.643,1,3,0.333,0,2,0.0,2,6,8,5,0,1,1,3,19,37,38.1,4.0,1.0
2019-03-18,Deandre Ayton,7500,PHO,C,CHI,,35.0,37.28,30,226.0,-133,114.0,-2,57.88,24.02,41.34,5.51,L,35,12,17,0.706,0,0,,1,1,1.0,4,8,12,3,3,3,1,4,25,-5,60.9,5.0,1.0
