entry_id,contest_id,contest_name,PG,PG,SG,SG,SF,SF,PF,PF,C,,Instructions
30347-15755,PF,Anthony,30347-9535,30347-58312,30347-12342,30347-14503,,,,
30347-9488,SF,LeBron,30347-9535,30347-15542,30347-12342,30347-14516,,,,
30347-40199,SF,Giannis,30347-15542,30347-58312,30347-9957,30347-14516,,,,
30347-49111,C,Joel,30347-9535,30347-15846,30347-12342,30347-14503,,,,
30347-9644,SG,James,30347-9535,30347-58312,30347-14516,,,,
