Date,Name,Salaries,Team,Position,Opponent,Unnamed: 6,Projected Minutes,DvP,DvPRank,O/U,Line,Total,Movement,Ceiling,Floor,Projection,Pts/$/K,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FD_PTS,Position #,Play?
2019-01-09,D.J. Augustin,4500,ORL,PG,@ UTA,,29.0,42.88,24,208.0,360,99.25,0.25,37.0,12.15,22.67,5.04,L,30,7,11,0.636,3,6,0.5,6,7,0.857,3,0,3,6,0,0,4,0,23,-5,31.6,1.0,1.0
2019-01-09,Shabazz Napier,4700,BKN,PG,ATL,,24.0,42.53,22,226.5,-400,117.75,-0.25,39.1,17.28,21.25,4.52,W,23,4,11,0.364,1,5,0.2,2,2,1.0,0,3,3,3,3,0,1,2,11,2,27.1,1.0,1.0
2019-01-09,Jordan Clarkson,5000,CLE,SG,@ NOP,,30.0,49.16,27,225.0,1000,105.0,0.5,44.29,25.62,26.55,5.31,L,30,9,16,0.563,2,5,0.4,1,2,0.5,0,4,4,2,3,2,2,4,21,-8,41.8,2.0,1.0
2019-01-09,Furkan Korkmaz,3800,PHI,SG,@ WAS,,30.0,39.16,26,228.5,-160,116.0,0.5,42.16,22.2,22.2,5.84,L,26,5,10,0.5,4,8,0.5,2,3,0.667,3,2,5,2,2,0,2,2,16,-6,29.0,2.0,1.0
2019-01-09,Brandon Ingram,6900,LAL,SF,DET,,37.0,43.69,9,216.0,-118,108.75,-0.75,49.67,19.97,32.53,4.71,W,30,4,10,0.4,0,0,,2,4,0.5,3,6,9,6,0,0,3,1,10,-1,26.8,3.0,1.0
2019-01-09,DeMarre Carroll,5400,BKN,SF,ATL,,28.0,43.37,30,226.5,-400,117.75,-0.25,39.89,18.13,23.48,4.35,W,21,5,10,0.5,2,4,0.5,5,6,0.833,0,3,3,0,0,0,1,5,17,0,19.6,3.0,1.0
2019-01-09,Anthony Davis,12500,NOP,PF,CLE,,36.0,49.62,4,225.0,-1600,120.0,1.5,86.01,30.97,59.32,4.75,W,37,11,17,0.647,1,1,1.0,15,16,0.938,6,7,13,7,2,4,1,1,38,12,81.1,4.0,1.0
2019-01-09,John Collins,8100,ATL,PF,@ BKN,,33.0,63.34,30,226.5,320,108.75,-0.25,61.14,24.24,39.09,4.83,L,35,12,21,0.5710000000000001,1,2,0.5,5,6,0.833,9,5,14,1,1,0,3,2,30,-14,48.3,4.0,1.0
2019-01-09,Clint Capela,9100,HOU,C,MIL,,34.0,48.09,1,229.0,105,113.75,1.5,58.85,23.04,39.18,4.31,L,35,4,16,0.25,0,0,,10,12,0.833,7,6,13,1,0,2,3,2,18,-2,38.1,5.0,1.0
